index,actual,consensus,country,day,forecast,hour,indicator,label,period,previous,previous_revised,source
5504,"{""value"": 1.7, ""uom"": ""%""}",null,IT,2018-07-17,null,08:00,Industrial Sales s.a. (MoM) (May),0,,"{""value"": 0.2, ""uom"": ""%""}",null,fxs
5505,null,null,UK,2018-07-17,null,08:00,BoE's Governor Carney speech,0,,null,null,fxs
5506,null,null,AU,2018-07-17,null,01:30,RBA Meeting's Minutes,0,,null,null,fxs
5507,"{""value"": 5.0, ""uom"": ""%""}",null,CN,2018-07-17,null,01:30,House Price Index (Jun),0,,"{""value"": 4.7, ""uom"": ""%""}",null,fxs
5508,null,"{""value"": 17500000000.0, ""uom"": null}",EA,2018-07-16,null,,Trade balance May,1,,"{""value"": 18100000000.0, ""uom"": null}",null,cio
5509,"{""value"": 0.5, ""uom"": ""%""}","{""value"": 0.5, ""uom"": ""%""}",US,2018-07-16,"{""value"": 0.3, ""uom"": ""%""}",02:30 PM,Retail Sales MoM,1,JUN,"{""value"": 1.3, ""uom"": ""%""}","{""value"": 0.8, ""uom"": ""Previousrevisedfrom""}",te
5510,"{""value"": 0.4, ""uom"": ""%""}","{""value"": 0.4, ""uom"": ""%""}",US,2018-07-16,"{""value"": 0.4, ""uom"": ""%""}",04:00 PM,Business Inventories MoM,1,MAY,"{""value"": 0.3, ""uom"": ""%""}",null,te
5511,"{""value"": 1.8, ""uom"": ""%""}","{""value"": 1.6, ""uom"": ""%""}",CN,2018-07-16,"{""value"": 1.4, ""uom"": ""%""}",04:00 AM,GDP Growth Rate QoQ,0,Q2,"{""value"": 1.4, ""uom"": ""%""}",null,te
5512,"{""value"": 6.7, ""uom"": ""%""}","{""value"": 6.7, ""uom"": ""%""}",CN,2018-07-16,"{""value"": 6.7, ""uom"": ""%""}",04:00 AM,GDP Growth Rate YoY,0,Q2,"{""value"": 6.8, ""uom"": ""%""}",null,te
5513,"{""value"": 9.0, ""uom"": ""%""}","{""value"": 8.8, ""uom"": ""%""}",CN,2018-07-16,"{""value"": 8.9, ""uom"": ""%""}",04:00 AM,Retail Sales YoY,0,JUN,"{""value"": 8.5, ""uom"": ""%""}",null,te
5514,"{""value"": 6.7, ""uom"": ""%""}",null,ES,2018-07-16,null,09:00 AM,Industrial Orders YoY,0,MAY,"{""value"": 4.8, ""uom"": ""%""}",null,te
5515,"{""value"": 3378000000.0, ""uom"": ""\u20ac""}","{""value"": 3250000000.0, ""uom"": ""\u20ac""}",IT,2018-07-16,"{""value"": 4099999999.9999995, ""uom"": ""\u20ac""}",10:00 AM,Balance of Trade,0,MAY,"{""value"": 2985000000.0, ""uom"": ""\u20ac""}","{""value"": 2938000000.0, ""uom"": ""Previousrevisedfrom\u20ac""}",te
5516,"{""value"": 16500000000.0, ""uom"": ""\u20ac""}","{""value"": 20900000000.0, ""uom"": ""\u20ac""}",EA,2018-07-16,"{""value"": 23600000000.0, ""uom"": ""\u20ac""}",11:00 AM,Balance of Trade,0,MAY,"{""value"": 16700000000.0, ""uom"": ""\u20ac""}",null,te
5517,"{""value"": 220300.0, ""uom"": null}",null,CA,2018-07-16,null,02:30 PM,New Motor Vehicle Sales,0,MAY,"{""value"": 195800.0, ""uom"": null}",null,te
5518,"{""value"": 2180000000.0, ""uom"": ""C$""}","{""value"": 7030000000.0, ""uom"": ""C$""}",CA,2018-07-16,"{""value"": 12900000000.0, ""uom"": ""C$""}",02:30 PM,Foreign Securities Purchases,0,MAY,"{""value"": 9090000000.0, ""uom"": ""C$""}","{""value"": 9130000000.0, ""uom"": ""PreviousrevisedfromC$""}",te
5519,"{""value"": 6.6, ""uom"": ""%""}",null,US,2018-07-16,"{""value"": 3.7, ""uom"": ""%""}",02:30 PM,Retail Sales YoY,0,JUN,"{""value"": 6.5, ""uom"": ""%""}","{""value"": 5.9, ""uom"": ""Previousrevisedfrom""}",te
5520,"{""value"": -0.575, ""uom"": ""%""}",null,FR,2018-07-16,null,03:00 PM,3-Month BTF Auction,0,JUL/16,"{""value"": -0.576, ""uom"": ""%""}",null,te
5521,"{""value"": -0.563, ""uom"": ""%""}",null,FR,2018-07-16,null,03:00 PM,12-Month BTF Auction,0,JUL/16,"{""value"": -0.558, ""uom"": ""%""}",null,te
5522,"{""value"": -0.567, ""uom"": ""%""}",null,FR,2018-07-16,null,03:00 PM,6-Month BTF Auction,0,JUL/16,"{""value"": -0.564, ""uom"": ""%""}",null,te
5523,null,null,CN,2018-07-16,null,,EU-China Summit,0,,null,null,te
5524,null,null,US,2018-07-16,null,,US-Russia Summit,0,,null,null,te
5525,"{""value"": 1.98, ""uom"": ""%""}",null,US,2018-07-16,null,15:30,3-Month Bill Auction,0,,"{""value"": 1.945, ""uom"": ""%""}",null,fxs
5526,"{""value"": 0.4, ""uom"": ""%""}","{""value"": 0.4, ""uom"": ""%""}",US,2018-07-16,null,14:00,Business Inventories (May),0,,"{""value"": 0.3, ""uom"": ""%""}",null,fxs
5527,"{""value"": 2180000000.0, ""uom"": ""$""}","{""value"": 7030000000.0, ""uom"": ""$""}",CA,2018-07-16,null,12:30,Foreign portfolio investment in Canadian securities (May),0,,"{""value"": 9090000000.0, ""uom"": ""$""}",null,fxs
5528,"{""value"": 5690000000.0, ""uom"": ""$""}",null,CA,2018-07-16,null,12:30,Canadian portfolio investment in foreign securities (May),0,,"{""value"": -710000000.0, ""uom"": ""$""}",null,fxs
5529,"{""value"": 0.0, ""uom"": ""%""}","{""value"": 0.4, ""uom"": ""%""}",US,2018-07-16,null,12:30,Retail Sales control group (Jun),0,,"{""value"": 0.8, ""uom"": ""%""}",null,fxs
5530,"{""value"": 0.5, ""uom"": ""%""}","{""value"": 0.5, ""uom"": ""%""}",US,2018-07-16,null,12:30,Retail Sales (MoM) (Jun),0,,"{""value"": 1.3, ""uom"": ""%""}",null,fxs
5531,"{""value"": 0.4, ""uom"": ""%""}","{""value"": 0.4, ""uom"": ""%""}",US,2018-07-16,null,12:30,Retail Sales ex Autos (MoM) (Jun),0,,"{""value"": 1.4, ""uom"": ""%""}",null,fxs
5532,"{""value"": 22.6, ""uom"": null}","{""value"": 22.0, ""uom"": null}",US,2018-07-16,null,12:30,NY Empire State Manufacturing Index (Jul),0,,"{""value"": 25.0, ""uom"": null}",null,fxs
5533,null,null,US,2018-07-16,null,,Trump - Putin meeting,0,,null,null,fxs
5534,"{""value"": 16899999999.999998, ""uom"": ""\u20ac""}","{""value"": 17600000000.0, ""uom"": ""\u20ac""}",EA,2018-07-16,null,09:00,Trade Balance s.a. (May),0,,"{""value"": 18100000000.0, ""uom"": ""\u20ac""}",null,fxs
5535,"{""value"": 16500000000.0, ""uom"": ""\u20ac""}","{""value"": 20900000000.0, ""uom"": ""\u20ac""}",EA,2018-07-16,null,09:00,Trade Balance n.s.a. (May),0,,"{""value"": 16700000000.0, ""uom"": ""\u20ac""}",null,fxs
5536,"{""value"": 3378000000.0, ""uom"": ""\u20ac""}","{""value"": 3250000000.0, ""uom"": ""\u20ac""}",IT,2018-07-16,null,08:08,Global Trade Balance (May),0,,"{""value"": 2985000000.0, ""uom"": ""\u20ac""}",null,fxs
5537,"{""value"": 1014999999.9999999, ""uom"": ""\u20ac""}",null,IT,2018-07-16,null,08:07,Trade Balance EU (May),0,,"{""value"": 1124000000.0, ""uom"": ""\u20ac""}",null,fxs
5538,"{""value"": 1.8, ""uom"": ""%""}","{""value"": 1.6, ""uom"": ""%""}",CN,2018-07-16,null,02:00,Gross Domestic Product (QoQ) (Q2),0,,"{""value"": 1.4, ""uom"": ""%""}",null,fxs
5539,"{""value"": 6.7, ""uom"": ""%""}","{""value"": 6.7, ""uom"": ""%""}",CN,2018-07-16,null,02:00,Gross Domestic Product (YoY) (Q2),0,,"{""value"": 6.8, ""uom"": ""%""}",null,fxs
5540,"{""value"": 6.0, ""uom"": ""%""}","{""value"": 6.0, ""uom"": ""%""}",CN,2018-07-16,null,02:00,Fixed Asset Investment (YTD) (YoY) (May),0,,"{""value"": 6.1, ""uom"": ""%""}",null,fxs
5541,null,null,CN,2018-07-16,null,02:00,NBS Press Conference,0,,null,null,fxs
5542,"{""value"": 6.0, ""uom"": ""%""}","{""value"": 6.5, ""uom"": ""%""}",CN,2018-07-16,null,02:00,Industrial Production (YoY) (May),0,,"{""value"": 6.8, ""uom"": ""%""}",null,fxs
5543,"{""value"": 9.0, ""uom"": ""%""}","{""value"": 9.0, ""uom"": ""%""}",CN,2018-07-16,null,02:00,Retail Sales (YoY) (Jun),0,,"{""value"": 8.5, ""uom"": ""%""}",null,fxs
5544,null,null,JP,2018-07-16,null,24h,Marine Day,0,,null,null,fxs
5545,"{""value"": 3.4, ""uom"": ""%""}",null,DE,2018-07-13,null,08:00 AM,Wholesale Prices YoY,1,JUN,"{""value"": 2.9, ""uom"": ""%""}",null,te
5546,"{""value"": 3.5, ""uom"": ""%""}","{""value"": 3.2, ""uom"": ""%""}",CH,2018-07-13,null,07:15,Producer and Import Prices (YoY) (Jun),1,,"{""value"": 3.2, ""uom"": ""%""}",null,fxs
5547,"{""value"": 24400.0, ""uom"": ""\u20ac""}",null,EA,2018-07-13,null,19:30,CFTC EUR NC net positions,1,,"{""value"": 36700.0, ""uom"": ""\u20ac""}",null,fxs
5548,"{""value"": 4.3, ""uom"": ""%""}","{""value"": 4.3, ""uom"": ""%""}",US,2018-07-13,null,02:30 PM,Import Prices YoY,1,JUN,"{""value"": 4.5, ""uom"": ""%""}","{""value"": 4.3, ""uom"": ""Previousrevisedfrom""}",te
5549,"{""value"": 5.3, ""uom"": ""%""}","{""value"": 5.7, ""uom"": ""%""}",US,2018-07-13,null,02:30 PM,Export Prices YoY,1,JUN,"{""value"": 4.9, ""uom"": ""%""}",null,te
5550,"{""value"": 97.1, ""uom"": null}","{""value"": 98.2, ""uom"": null}",US,2018-07-13,null,14:00,Michigan Consumer Sentiment Index (Jul),1,,"{""value"": 98.2, ""uom"": null}",null,fxs
5551,"{""value"": 3.8, ""uom"": ""%""}","{""value"": 4.0, ""uom"": ""%""}",SG,2018-07-13,"{""value"": 3.7, ""uom"": ""%""}",02:00 AM,GDP Growth Rate YoY Adv,0,Q2,"{""value"": 4.3, ""uom"": ""%""}","{""value"": 4.4, ""uom"": ""Previousrevisedfrom""}",te
5552,null,null,US,2018-07-13,null,02:00 AM,Fed Kashkari Speech,0,,null,null,te
5553,"{""value"": 41610000000.0, ""uom"": ""$""}","{""value"": 27900000000.0, ""uom"": ""$""}",CN,2018-07-13,"{""value"": 29000000000.0, ""uom"": ""$""}",05:00 AM,Balance of Trade,0,JUN,"{""value"": 24920000000.0, ""uom"": ""$""}",null,te
5554,"{""value"": 11.3, ""uom"": ""%""}","{""value"": 10.0, ""uom"": ""%""}",CN,2018-07-13,null,05:00 AM,Exports YoY,0,JUN,"{""value"": 12.6, ""uom"": ""%""}",null,te
5555,"{""value"": 14.1, ""uom"": ""%""}","{""value"": 20.8, ""uom"": ""%""}",CN,2018-07-13,null,05:00 AM,Imports YoY,0,JUN,"{""value"": 26.0, ""uom"": ""%""}",null,te
5556,"{""value"": -2.1, ""uom"": ""%""}","{""value"": -1.2, ""uom"": ""%""}",JP,2018-07-13,null,06:30 AM,Capacity Utilization MoM,0,MAY,"{""value"": 1.8, ""uom"": ""%""}",null,te
5557,"{""value"": 4.2, ""uom"": ""%""}","{""value"": 6.0, ""uom"": ""%""}",JP,2018-07-13,"{""value"": 4.2, ""uom"": ""%""}",06:30 AM,Industrial Production YoY Final,0,MAY,"{""value"": 2.6, ""uom"": ""%""}",null,te
5558,"{""value"": -0.2, ""uom"": ""%""}","{""value"": -2.1, ""uom"": ""%""}",JP,2018-07-13,"{""value"": -0.2, ""uom"": ""%""}",06:30 AM,Industrial Production MoM Final,0,MAY,"{""value"": 0.5, ""uom"": ""%""}",null,te
5559,"{""value"": 0.5, ""uom"": ""%""}","{""value"": 0.4, ""uom"": ""%""}",DE,2018-07-13,null,08:00 AM,Wholesale Prices MoM,0,JUN,"{""value"": 0.8, ""uom"": ""%""}",null,te
5560,"{""value"": 2.3, ""uom"": ""%""}","{""value"": 2.3, ""uom"": ""%""}",ES,2018-07-13,"{""value"": 2.3, ""uom"": ""%""}",09:00 AM,Harmonised Inflation Rate YoY Final,0,JUN,"{""value"": 2.1, ""uom"": ""%""}",null,te
5561,"{""value"": 0.2, ""uom"": ""%""}","{""value"": 0.2, ""uom"": ""%""}",ES,2018-07-13,"{""value"": 0.2, ""uom"": ""%""}",09:00 AM,Harmonised Inflation Rate MoM Final,0,JUN,"{""value"": 0.9, ""uom"": ""%""}",null,te
5562,"{""value"": 2.3, ""uom"": ""%""}","{""value"": 2.3, ""uom"": ""%""}",ES,2018-07-13,"{""value"": 2.3, ""uom"": ""%""}",09:00 AM,Inflation Rate YoY Final,0,JUN,"{""value"": 2.1, ""uom"": ""%""}",null,te
5563,"{""value"": 0.3, ""uom"": ""%""}","{""value"": 0.3, ""uom"": ""%""}",ES,2018-07-13,"{""value"": 0.3, ""uom"": ""%""}",09:00 AM,Inflation Rate MoM Final,0,JUN,"{""value"": 0.9, ""uom"": ""%""}",null,te
5564,"{""value"": 1840000000000.0, ""uom"": ""CNY""}","{""value"": 1600000000000.0, ""uom"": ""CNY""}",CN,2018-07-13,"{""value"": 1500000000000.0, ""uom"": ""CNY""}",10:30 AM,New Yuan Loans,0,JUN,"{""value"": 1150000000000.0, ""uom"": ""CNY""}",null,te
5565,"{""value"": 12.7, ""uom"": ""%""}","{""value"": 12.5, ""uom"": ""%""}",CN,2018-07-13,"{""value"": 12.7, ""uom"": ""%""}",10:30 AM,Outstanding Loan Growth YoY,0,JUN,"{""value"": 12.6, ""uom"": ""%""}",null,te
5566,"{""value"": 1180000000000.0, ""uom"": ""CNY""}",null,CN,2018-07-13,"{""value"": 1000000000000.0, ""uom"": ""CNY""}",10:30 AM,Total Social Financing,0,JUN,"{""value"": 760800000000.0, ""uom"": ""CNY""}",null,te
5567,"{""value"": 8.0, ""uom"": ""%""}","{""value"": 8.3, ""uom"": ""%""}",CN,2018-07-13,null,10:30 AM,M2 Money Supply YoY,0,JUN,"{""value"": 8.3, ""uom"": ""%""}",null,te
5568,null,null,GB,2018-07-13,null,01:00 PM,BoE Cunliffe Speech,0,,null,null,te
5569,"{""value"": 0.3, ""uom"": ""%""}","{""value"": 0.2, ""uom"": ""%""}",US,2018-07-13,null,02:30 PM,Export Prices MoM,0,JUN,"{""value"": 0.6, ""uom"": ""%""}",null,te
5570,"{""value"": 113.9, ""uom"": null}","{""value"": 113.0, ""uom"": null}",US,2018-07-13,"{""value"": 98.18, ""uom"": null}",04:00 PM,Michigan Current Conditions Prel,0,JUL,"{""value"": 116.5, ""uom"": null}",null,te
5571,"{""value"": 2.9, ""uom"": ""%""}",null,US,2018-07-13,null,04:00 PM,Michigan Inflation Expectations Prel,0,JUL,"{""value"": 3.0, ""uom"": ""%""}",null,te
5572,"{""value"": 2.4, ""uom"": ""%""}",null,US,2018-07-13,null,04:00 PM,Michigan 5 Year Inflation Expectations Prel,0,JUL,"{""value"": 2.6, ""uom"": ""%""}",null,te
5573,"{""value"": 86.4, ""uom"": null}","{""value"": 89.7, ""uom"": null}",US,2018-07-13,"{""value"": 98.18, ""uom"": null}",04:00 PM,Michigan Consumer Expectations Prel,0,JUL,"{""value"": 86.3, ""uom"": null}",null,te
5574,null,null,US,2018-07-13,null,06:30 PM,Fed Bostic Speech,0,,null,null,te
5575,"{""value"": -39800.0, ""uom"": ""\u00a5""}",null,JP,2018-07-13,null,19:30,CFTC JPY NC net positions,0,,"{""value"": -38700.0, ""uom"": ""\u00a5""}",null,fxs
5576,"{""value"": 172000.0, ""uom"": ""$""}",null,US,2018-07-13,null,19:30,CFTC USD NC net positions,0,,"{""value"": 168000.0, ""uom"": ""$""}",null,fxs
5577,"{""value"": 654500.0, ""uom"": null}",null,US,2018-07-13,null,19:30,CFTC Oil NC net positions,0,,"{""value"": 656700.0, ""uom"": null}",null,fxs
5578,"{""value"": 81400.0, ""uom"": ""$""}",null,US,2018-07-13,null,19:30,CFTC Gold NC net positions,0,,"{""value"": 78300.0, ""uom"": ""$""}",null,fxs
5579,"{""value"": -40400.0, ""uom"": ""\u00a3""}",null,UK,2018-07-13,null,19:30,CFTC GBP NC net positions,0,,"{""value"": -28800.0, ""uom"": ""\u00a3""}",null,fxs
5580,"{""value"": -41000.0, ""uom"": ""$""}",null,AU,2018-07-13,null,19:30,CFTC AUD NC net positions,0,,"{""value"": -39200.0, ""uom"": ""$""}",null,fxs
5581,"{""value"": 863.0, ""uom"": null}",null,US,2018-07-13,null,17:00,Baker Hughes US Oil Rig Count,0,,"{""value"": 863.0, ""uom"": null}",null,fxs
5582,null,null,US,2018-07-13,null,16:30,FOMC Member Bostic speech,0,,null,null,fxs
5583,null,null,US,2018-07-13,null,15:00,Fed Monetary Policy Report,0,,null,null,fxs
5584,"{""value"": 4.3, ""uom"": ""%""}","{""value"": 4.3, ""uom"": ""%""}",US,2018-07-13,null,12:30,Import Price Index (YoY) (Jun),0,,"{""value"": 4.3, ""uom"": ""%""}",null,fxs
5585,"{""value"": 0.3, ""uom"": ""%""}","{""value"": 0.2, ""uom"": ""%""}",US,2018-07-13,null,12:30,Export Price Index (MoM) (Jun),0,,"{""value"": 0.6, ""uom"": ""%""}",null,fxs
5586,"{""value"": 5.3, ""uom"": ""%""}","{""value"": 5.7, ""uom"": ""%""}",US,2018-07-13,null,12:30,Export Price Index (YoY) (Jun),0,,"{""value"": 4.9, ""uom"": ""%""}",null,fxs
5587,"{""value"": -0.4, ""uom"": ""%""}","{""value"": 0.1, ""uom"": ""%""}",US,2018-07-13,null,12:30,Import Price Index (MoM) (Jun),0,,"{""value"": 0.9, ""uom"": ""%""}",null,fxs
5588,null,null,UK,2018-07-13,null,11:00,MPC Member Cunliffe Speech,0,,null,null,fxs
5589,"{""value"": 0.2, ""uom"": ""%""}","{""value"": 0.2, ""uom"": ""%""}",CH,2018-07-13,null,07:15,Producer and Import Prices (MoM) (Jun),0,,"{""value"": 0.2, ""uom"": ""%""}",null,fxs
5590,"{""value"": 2.3, ""uom"": ""%""}","{""value"": 2.3, ""uom"": ""%""}",ES,2018-07-13,null,07:00,Consumer Price Index (YoY) (Jun),0,,"{""value"": 2.1, ""uom"": ""%""}",null,fxs
5591,"{""value"": 0.3, ""uom"": ""%""}","{""value"": 0.2, ""uom"": ""%""}",ES,2018-07-13,null,07:00,Consumer Price Index (MoM) (Jun),0,,"{""value"": 0.9, ""uom"": ""%""}",null,fxs
5592,"{""value"": 0.2, ""uom"": ""%""}","{""value"": 0.3, ""uom"": ""%""}",ES,2018-07-13,null,07:00,HICP (MoM) (Jun),0,,"{""value"": 0.9, ""uom"": ""%""}",null,fxs
5593,"{""value"": 2.3, ""uom"": ""%""}","{""value"": 2.3, ""uom"": ""%""}",ES,2018-07-13,null,07:00,HICP (YoY) (Jun),0,,"{""value"": 2.3, ""uom"": ""%""}",null,fxs
5594,"{""value"": 0.5, ""uom"": ""%""}","{""value"": 0.4, ""uom"": ""%""}",DE,2018-07-13,null,06:00,Wholesale Price Index (MoM) (Jun),0,,"{""value"": 0.8, ""uom"": ""%""}",null,fxs
5595,"{""value"": 3.4, ""uom"": ""%""}",null,DE,2018-07-13,null,06:00,Wholesale Price Index (YoY) (Jun),0,,"{""value"": 2.9, ""uom"": ""%""}",null,fxs
5596,"{""value"": -2.1, ""uom"": ""%""}","{""value"": -1.2, ""uom"": ""%""}",JP,2018-07-13,null,04:30,Capacity Utilization (May),0,,"{""value"": 1.8, ""uom"": ""%""}",null,fxs
5597,"{""value"": 4.2, ""uom"": ""%""}","{""value"": 6.0, ""uom"": ""%""}",JP,2018-07-13,null,04:30,Industrial Production (YoY) (May),0,,"{""value"": 4.2, ""uom"": ""%""}",null,fxs
5598,"{""value"": -0.2, ""uom"": ""%""}","{""value"": -0.2, ""uom"": ""%""}",JP,2018-07-13,null,04:30,Industrial Production (MoM) (May),0,,"{""value"": -0.2, ""uom"": ""%""}",null,fxs
5599,"{""value"": 261899999999.99997, ""uom"": null}","{""value"": 165647000000.0, ""uom"": null}",CN,2018-07-13,null,03:10,Trade Balance CNY (Jun),0,,"{""value"": 156510000000.0, ""uom"": null}",null,fxs
5600,"{""value"": 11.3, ""uom"": ""%""}","{""value"": 10.0, ""uom"": ""%""}",CN,2018-07-13,null,03:08,Exports (YoY) (Jun),0,,"{""value"": 12.6, ""uom"": ""%""}",null,fxs
5601,"{""value"": 14.1, ""uom"": ""%""}","{""value"": 20.8, ""uom"": ""%""}",CN,2018-07-13,null,03:08,Imports (YoY) (Jun),0,,"{""value"": 26.0, ""uom"": ""%""}",null,fxs
5602,"{""value"": 6.0, ""uom"": ""%""}","{""value"": 10.5, ""uom"": ""%""}",CN,2018-07-13,null,03:07,Imports (YoY) CNY (Jun),0,,"{""value"": 15.6, ""uom"": ""%""}",null,fxs
5603,"{""value"": 3.1, ""uom"": ""%""}","{""value"": 7.1, ""uom"": ""%""}",CN,2018-07-13,null,03:07,Exports (YoY) CNY (Jun),0,,"{""value"": 3.2, ""uom"": ""%""}",null,fxs
5604,"{""value"": 41610000000.0, ""uom"": ""$""}","{""value"": 27610000000.0, ""uom"": ""$""}",CN,2018-07-13,null,03:06,Trade Balance USD (Jun),0,,"{""value"": 24920000000.0, ""uom"": ""$""}",null,fxs
5605,"{""value"": 1.1, ""uom"": ""%""}",null,CN,2018-07-13,null,02:15,FDI - Foreign Direct Investment (YTD) (YoY) (Jun),0,,"{""value"": 1.3, ""uom"": ""%""}",null,fxs
5606,"{""value"": 3.8, ""uom"": ""%""}","{""value"": 4.0, ""uom"": ""%""}",SG,2018-07-13,null,00:00,Gross Domestic Product (YoY) (Q2),0,,"{""value"": 4.3, ""uom"": ""%""}",null,fxs
5607,"{""value"": 1.0, ""uom"": ""%""}","{""value"": 1.2, ""uom"": ""%""}",SG,2018-07-13,null,00:00,Gross Domestic Product (QoQ) (Q2),0,,"{""value"": 1.5, ""uom"": ""%""}",null,fxs
5608,null,null,EA,2018-07-13,null,24h,EcoFin Meeting,0,,null,null,fxs
5609,null,null,US,2018-07-13,null,00:00,FOMC Member Kashkari Speech,0,,null,null,fxs
5610,"{""value"": 2.1, ""uom"": ""%""}","{""value"": 2.1, ""uom"": ""%""}",DE,2018-07-12,null,06:00,Consumer Price Index (YoY) (Jun),1,,"{""value"": 2.1, ""uom"": ""%""}",null,fxs
5611,"{""value"": 2.3, ""uom"": ""%""}","{""value"": 2.4, ""uom"": ""%""}",FR,2018-07-12,null,06:45,Consumer Price Index (EU norm) (YoY) (Jun),1,,"{""value"": 2.4, ""uom"": ""%""}",null,fxs
5612,"{""value"": 2.4, ""uom"": ""%""}","{""value"": 2.1, ""uom"": ""%""}",EA,2018-07-12,"{""value"": 2.5, ""uom"": ""%""}",11:00 AM,Industrial Production YoY,1,MAY,"{""value"": 1.7, ""uom"": ""%""}",null,te
5613,"{""value"": 214000.0, ""uom"": null}","{""value"": 225000.0, ""uom"": null}",US,2018-07-12,"{""value"": 227000.0, ""uom"": null}",02:30 PM,Initial Jobless Claims,1,7/JUL,"{""value"": 232000.0, ""uom"": null}","{""value"": 231000.0, ""uom"": ""Previousrevisedfrom""}",te
5614,"{""value"": 1739000.0, ""uom"": null}","{""value"": 1720000.0, ""uom"": null}",US,2018-07-12,"{""value"": 1717000.0, ""uom"": null}",02:30 PM,Continuing Jobless Claims,1,30/JUN,"{""value"": 1742000.0, ""uom"": null}","{""value"": 1739000.0, ""uom"": ""Previousrevisedfrom""}",te
5615,"{""value"": 0.2, ""uom"": ""%""}","{""value"": 0.2, ""uom"": ""%""}",US,2018-07-12,null,12:30,Consumer Price Index Ex Food & Energy (MoM) (Jun),1,,"{""value"": 0.2, ""uom"": ""%""}",null,fxs
5616,"{""value"": 2.3, ""uom"": ""%""}","{""value"": 2.3, ""uom"": ""%""}",US,2018-07-12,null,12:30,Consumer Price Index Ex Food & Energy (YoY) (Jun),1,,"{""value"": 2.2, ""uom"": ""%""}",null,fxs
5617,null,"{""value"": 10.2, ""uom"": ""%""}",CN,2018-07-12,null,,Exports YoY June,1,,"{""value"": 12.6, ""uom"": ""%""}",null,cio
5618,null,null,CN,2018-07-12,null,,Imports YoY June,1,,"{""value"": 26.0, ""uom"": ""%""}",null,cio
5619,null,"{""value"": 27500000000.0, ""uom"": ""$""}",CN,2018-07-12,null,,Trade Balance June,1,,"{""value"": 24920000000.0, ""uom"": ""$""}",null,cio
5620,"{""value"": 74300000000.0, ""uom"": ""\u00a5""}",null,JP,2018-07-12,"{""value"": -192000000000.0, ""uom"": ""\u00a5""}",01:50 AM,Stock Investment by Foreigners,0,07/JUL,"{""value"": -299800000000.0, ""uom"": ""\u00a5""}",null,te
5621,"{""value"": 0.1, ""uom"": ""%""}",null,SG,2018-07-12,"{""value"": 0.2, ""uom"": ""%""}",07:00 AM,Retail Sales MoM,0,MAY,"{""value"": -0.2, ""uom"": ""%""}",null,te
5622,"{""value"": 0.1, ""uom"": ""%""}",null,SG,2018-07-12,"{""value"": 2.6, ""uom"": ""%""}",07:00 AM,Retail Sales YoY,0,MAY,"{""value"": 0.6, ""uom"": ""%""}",null,te
5623,"{""value"": 0.1, ""uom"": ""%""}","{""value"": 0.1, ""uom"": ""%""}",DE,2018-07-12,"{""value"": 0.1, ""uom"": ""%""}",08:00 AM,Harmonised Inflation Rate MoM Final,0,JUN,"{""value"": 0.6, ""uom"": ""%""}",null,te
5624,"{""value"": 2.1, ""uom"": ""%""}","{""value"": 2.1, ""uom"": ""%""}",DE,2018-07-12,"{""value"": 2.1, ""uom"": ""%""}",08:00 AM,Harmonised Inflation Rate YoY Final,0,JUN,"{""value"": 2.2, ""uom"": ""%""}",null,te
5625,"{""value"": 2.1, ""uom"": ""%""}","{""value"": 2.1, ""uom"": ""%""}",DE,2018-07-12,"{""value"": 2.1, ""uom"": ""%""}",08:00 AM,Inflation Rate YoY Final,0,JUN,"{""value"": 2.2, ""uom"": ""%""}",null,te
5626,"{""value"": 0.1, ""uom"": ""%""}","{""value"": 0.1, ""uom"": ""%""}",DE,2018-07-12,"{""value"": 0.1, ""uom"": ""%""}",08:00 AM,Inflation Rate MoM Final,0,JUN,"{""value"": 0.5, ""uom"": ""%""}",null,te
5627,"{""value"": 2.3, ""uom"": ""%""}","{""value"": 2.4, ""uom"": ""%""}",FR,2018-07-12,"{""value"": 2.4, ""uom"": ""%""}",08:45 AM,Harmonised Inflation Rate YoY Final,0,JUN,"{""value"": 2.3, ""uom"": ""%""}",null,te
5628,"{""value"": 0.0, ""uom"": ""%""}","{""value"": 0.1, ""uom"": ""%""}",FR,2018-07-12,"{""value"": 0.1, ""uom"": ""%""}",08:45 AM,Harmonised Inflation Rate MoM Final,0,JUN,"{""value"": 0.5, ""uom"": ""%""}",null,te
5629,"{""value"": 2.0, ""uom"": ""%""}","{""value"": 2.1, ""uom"": ""%""}",FR,2018-07-12,"{""value"": 2.1, ""uom"": ""%""}",08:45 AM,Inflation Rate YoY Final,0,JUN,"{""value"": 2.0, ""uom"": ""%""}",null,te
5630,"{""value"": 0.0, ""uom"": ""%""}","{""value"": 0.1, ""uom"": ""%""}",FR,2018-07-12,"{""value"": 0.1, ""uom"": ""%""}",08:45 AM,Inflation Rate MoM Final,0,JUN,"{""value"": 0.4, ""uom"": ""%""}",null,te
5631,"{""value"": 1.1, ""uom"": ""%""}",null,CN,2018-07-12,null,09:10 AM,FDI (YTD) YoY,0,JUN,"{""value"": 1.3, ""uom"": ""%""}",null,te
5632,null,null,FR,2018-07-12,null,10:00 AM,IEA Oil Market Report,0,,null,null,te
