index,index,actual,consensus,country,date,forecast,hour,indicator,period,previous,previous_revised
3921,4052,0%,,AU,Monday July 02 2018,,03:00 AM,TD-MI Inflation Gauge MoM,JUN,0%,
3922,4053,-1.7%,,AU,Monday July 02 2018,,03:30 AM,ANZ Job Advertisements MoM,JUN,1.4%,Previous revised from 1.5%
3923,4054,51.0,51.1,CN,Monday July 02 2018,51.2,03:45 AM,Caixin Manufacturing PMI,JUN,51.1,
3924,4055,1%,,ES,Monday July 02 2018,,09:00 AM,Tourist Arrivals YoY,MAY,-4.4%,
3925,4056,53.4,53.6,ES,Monday July 02 2018,54.5,09:15 AM,Markit Manufacturing PMI,JUN,53.4,
3926,4057,-1.3%,,CH,Monday July 02 2018,0.4%,09:15 AM,Retail Sales MoM,MAY,0.4%,Previous revised from 0.0%
3927,4058,-0.1%,2.6%,CH,Monday July 02 2018,0.2%,09:15 AM,Retail Sales YoY,MAY,2.9%,Previous revised from 2.2%
3928,4059,6.8%,,AT,Monday July 02 2018,7.2%,09:30 AM,Unemployment Rate,JUN,7.1%,
3929,4060,61.6,60.9,CH,Monday July 02 2018,62.7,09:30 AM,SVME Manufacturing PMI,JUN,62.4,
3930,4061,53.3,52.7,IT,Monday July 02 2018,53.4,09:45 AM,Markit/ADACI Manufacturing PMI,JUN,52.7,
3931,4062,52.5,53.1,FR,Monday July 02 2018,53.1,09:50 AM,Markit Manufacturing PMI Final,JUN,54.4,
3932,4063,55.9,55.9,DE,Monday July 02 2018,55.9,09:55 AM,Markit Manufacturing PMI Final,JUN,56.9,
3933,4064,54.9,55,EA,Monday July 02 2018,55,10:00 AM,Markit Manufacturing PMI Final,JUN,55.5,
3934,4065,53.5,,GR,Monday July 02 2018,53.4,10:00 AM,Markit Manufacturing PMI,JUN,54.2,
3935,4066,10.7%,11.1%,IT,Monday July 02 2018,10.8%,10:00 AM,Unemployment Rate,MAY,11%,Previous revised from 11.2%
3936,4067,54.4,54,GB,Monday July 02 2018,54.8,10:30 AM,Markit/CIPS Manufacturing PMI,JUN,54.3,Previous revised from 54.4
3937,4068,8.4%,8.5%,EA,Monday July 02 2018,8.5%,11:00 AM,Unemployment Rate,MAY,8.4%,Previous revised from 8.5%
3938,4069,8.0%,,ES,Monday July 02 2018,,11:40 AM,New Car Sales YoY,JUN,7.2%,
3939,4070,-0.604%,,FR,Monday July 02 2018,,03:00 PM,3-Month BTF Auction,JUL/02,-0.609%,
3940,4071,-0.570%,,FR,Monday July 02 2018,,03:00 PM,12-Month BTF Auction,JUL/02,-0.584%,
3941,4072,-0.598%,,FR,Monday July 02 2018,,03:00 PM,6-Month BTF Auction,JUL/02,-0.604%,
3942,4073,52.5,,SG,Monday July 02 2018,52.5,03:00 PM,SIPMM Manufacturing PMI,JUN,52.7,
3943,4074,55.4,54.6,US,Monday July 02 2018,54.6,03:45 PM,Markit Manufacturing PMI Final,JUN,56.4,
3944,4075,76.8,77.0,US,Monday July 02 2018,,04:00 PM,ISM Manufacturing Prices,JUN,79.5,
3945,4076,63.5,,US,Monday July 02 2018,,04:00 PM,ISM Manufacturing New Orders,JUN,63.7,
3946,4077,56.0,57.0,US,Monday July 02 2018,,04:00 PM,ISM Manufacturing Employment,JUN,56.3,
3947,4078,60.2,58.4,US,Monday July 02 2018,57,04:00 PM,ISM Manufacturing PMI,JUN,58.7,
3948,4079,0.4%,0.5%,US,Monday July 02 2018,0.6%,04:00 PM,Construction Spending MoM,MAY,0.9%,Previous revised from 1.8%
3949,4080,1.940%,,US,Monday July 02 2018,,05:30 PM,3-Month Bill Auction,,1.900%,
3950,4081,2.085%,,US,Monday July 02 2018,,05:30 PM,6-Month Bill Auction,,2.085%,
3951,4082,1.860%,,US,Monday July 02 2018,,07:00 PM,4-Week Bill Auction,,1.770%,
3952,4083,51.5,51.6,CN,Saturday June 30 2018,51.7,03:00 AM,NBS Manufacturing PMI,JUN,51.9,
3953,4084,55.0,54.7,CN,Saturday June 30 2018,54.70,03:00 AM,Non Manufacturing PMI,JUN,54.9,
3954,4085,-9,-7,GB,Friday June 29 2018,-8,01:01 AM,Gfk Consumer Confidence,JUN,-7,Previous revised from -7
3955,4086,1.60,1.59,JP,Friday June 29 2018,,01:30 AM,Jobs/applications ratio,MAY,1.59,
3956,4087,0.7%,0.6%,JP,Friday June 29 2018,,01:30 AM,Tokyo Core CPI YoY,JUN,0.5%,
3957,4088,0.6%,0.5%,JP,Friday June 29 2018,,01:30 AM,Tokyo CPI YoY,JUN,0.4%,
3958,4089,2.2%,2.5%,JP,Friday June 29 2018,2.5%,01:30 AM,Unemployment Rate,MAY,2.5%,
3959,4090,4.2%,1.1%,JP,Friday June 29 2018,2.5%,01:50 AM,Industrial Production YoY Prel,MAY,2.6%,
3960,4091,-0.2%,-1.1%,JP,Friday June 29 2018,0.2%,01:50 AM,Industrial Production MoM Prel,MAY,0.5%,
3961,4092,-4.4%,,AU,Friday June 29 2018,,03:00 AM,HIA New Home Sales MoM,MAY,-4.2%,
3962,4093,4.8%,,AU,Friday June 29 2018,,03:30 AM,Private Sector Credit YoY,MAY,5.1%,
3963,4094,0.2%,0.4%,AU,Friday June 29 2018,0.4%,03:30 AM,Private Sector Credit MoM,MAY,0.4%,
3964,4095,$667.9B,,SG,Friday June 29 2018,,04:00 AM,Bank Lending,MAY,$667.1B,
3965,4096,-18.7%,,JP,Friday June 29 2018,3.3%,07:00 AM,Construction Orders YoY,MAY,4%,
3966,4097,43.7,43.9,JP,Friday June 29 2018,43.8,07:00 AM,Consumer Confidence,JUN,43.8,
3967,4098,1.3%,-6.1%,JP,Friday June 29 2018,1.4%,07:00 AM,Housing Starts YoY,MAY,0.3%,
3968,4099,3.8%,,SG,Friday June 29 2018,,07:00 AM,Export Prices YoY,MAY,0.7%,
3969,4100,6.6%,,SG,Friday June 29 2018,,07:00 AM,Import Prices YoY,MAY,1.7%,Previous revised from 2%
3970,4101,8.2%,,SG,Friday June 29 2018,1.9%,07:00 AM,PPI YoY,MAY,2.5%,
3971,4102,1.6%,1.1%,DE,Friday June 29 2018,,08:00 AM,Import Prices MoM,MAY,0.6%,
3972,4103,3.2%,2.7%,DE,Friday June 29 2018,,08:00 AM,Import Prices YoY,MAY,0.6%,
3973,4104,-2.1%,-0.5%,DE,Friday June 29 2018,-0.5%,08:00 AM,Retail Sales MoM,MAY,1.6%,Previous revised from 2.3%
3974,4105,-1.6%,1.8%,DE,Friday June 29 2018,1.9%,08:00 AM,Retail Sales YoY,MAY,1%,Previous revised from 1.2%
3975,4106,3.4%,,DE,Friday June 29 2018,3.4%,08:00 AM,Unemployment Rate Harmonised,MAY,3.4%,
3976,4107,0.1%,,FR,Friday June 29 2018,0.3%,08:45 AM,Harmonised Inflation Rate MoM Prel,JUN,0.5%,
3977,4108,2.4%,2.4%,FR,Friday June 29 2018,2.1%,08:45 AM,Harmonised Inflation Rate YoY Prel,JUN,2.3%,
3978,4109,2.1%,,FR,Friday June 29 2018,1.8%,08:45 AM,Inflation Rate YoY Prel,JUN,2%,
3979,4110,0.1%,0.1%,FR,Friday June 29 2018,0.3%,08:45 AM,Inflation Rate MoM Prel,JUN,0.4%,
3980,4111,0.9%,0.8%,FR,Friday June 29 2018,0.7%,08:45 AM,Household Consumption MoM,MAY,-1.8%,Previous revised from -1.5%
3981,4112,0.6%,,FR,Friday June 29 2018,0.4%,08:45 AM,PPI MoM,MAY,-0.8%,Previous revised from -0.7%
3982,4113,0.6%,,AT,Friday June 29 2018,0.4%,09:00 AM,PPI MoM,MAY,0.3%,
3983,4114,2.4%,,AT,Friday June 29 2018,1.7%,09:00 AM,PPI YoY,MAY,1.4%,
3984,4115,101.7,101,CH,Friday June 29 2018,102.5,09:00 AM,KOF Leading Indicators,JUN,100.0,
3985,4116,-15K,-8K,DE,Friday June 29 2018,15K,09:55 AM,Unemployment Change,JUN,-11K,
3986,4117,5.2%,5.2%,DE,Friday June 29 2018,5.2%,09:55 AM,Unemployment Rate,JUN,5.2%,
3987,4118,€5293M,,AT,Friday June 29 2018,€3569M,10:00 AM,Current Account,Q1,€2288M,
3988,4119,€-1.516B,,ES,Friday June 29 2018,€1.2B,10:00 AM,Current Account,APR,€0.287B,Previous revised from €0.904B
3989,4120,£1.405B,£1.5B,GB,Friday June 29 2018,£1.6B,10:30 AM,BoE Consumer Credit,MAY,£1.764B,Previous revised from £1.832B
3990,4121,£-17.72B,£-18B,GB,Friday June 29 2018,£-21.2B,10:30 AM,Current Account,Q1,£-19.54B,Previous revised from £-18.4B
3991,4122,0.2%,0.1%,GB,Friday June 29 2018,0.1%,10:30 AM,GDP Growth Rate QoQ Final,Q1,0.4%,
3992,4123,1.2%,1.2%,GB,Friday June 29 2018,1.2%,10:30 AM,GDP Growth Rate YoY Final,Q1,1.3%,Previous revised from 1.4%
3993,4124,£5.3B,£5.2B,GB,Friday June 29 2018,£5.9B,10:30 AM,Net Lending to Individuals MoM,MAY,£5.7B,
3994,4125,£3.861B,£3.733B,GB,Friday June 29 2018,£4.0B,10:30 AM,Mortgage Lending,MAY,£3.792B,Previous revised from £3.894B
3995,4126,64.526K,62.2K,GB,Friday June 29 2018,65.9K,10:30 AM,Mortgage Approvals,MAY,62.455K,
3996,4127,2%,2.4%,GB,Friday June 29 2018,2%,10:30 AM,Business Investment YoY Final,Q1,2.6%,
3997,4128,-0.4%,-0.2%,GB,Friday June 29 2018,-0.2%,10:30 AM,Business Investment QoQ Final,Q1,0.3%,
3998,4129,1%,1%,EA,Friday June 29 2018,1.2%,11:00 AM,Core Inflation Rate YoY Flash,JUN,1.1%,
3999,4130,2%,2%,EA,Friday June 29 2018,1.7%,11:00 AM,Inflation Rate YoY Flash,JUN,1.9%,
4000,4131,7%,,GR,Friday June 29 2018,1.9%,11:00 AM,PPI YoY,MAY,2%,
4001,4132,1.3%,,GR,Friday June 29 2018,1.1%,11:00 AM,Retail Sales YoY,APR,1.5%,
4002,4133,15.1%,1.2%,CA,Friday June 29 2018,,02:30 PM,Raw Materials Prices YoY,MAY,9%,Previous revised from 8.9%
4003,4134,3.8%,1.2%,CA,Friday June 29 2018,,02:30 PM,Raw Materials Prices MoM,MAY,0.8%,Previous revised from 0.7%
4004,4135,0.1%,0.0%,CA,Friday June 29 2018,0.1%,02:30 PM,GDP MoM,APR,0.3%,
4005,4136,1%,0.9%,CA,Friday June 29 2018,,02:30 PM,PPI MoM,MAY,0.4%,Previous revised from 0.5%
4006,4137,3.1%,,CA,Friday June 29 2018,2.3%,02:30 PM,PPI YoY,MAY,2.3%,Previous revised from 2.4%
4007,4138,2%,1.9%,US,Friday June 29 2018,,02:30 PM,Core PCE Price Index YoY,MAY,1.8%,
4008,4139,0.2%,0.2%,US,Friday June 29 2018,,02:30 PM,Core PCE Price Index MoM,MAY,0.2%,
4009,4140,2.3%,,US,Friday June 29 2018,,02:30 PM,PCE Price Index YoY,MAY,2%,
4010,4141,0.2%,0.2%,US,Friday June 29 2018,,02:30 PM,PCE Price Index MoM,MAY,0.2%,
4011,4142,0.4%,0.4%,US,Friday June 29 2018,0.3%,02:30 PM,Personal Income MoM,MAY,0.2%,Previous revised from 0.3%
4012,4143,0.2%,0.4%,US,Friday June 29 2018,0.3%,02:30 PM,Personal Spending MoM,MAY,0.5%,Previous revised from 0.6%
4013,4144,64.1,60,US,Friday June 29 2018,58.6,03:45 PM,Chicago PMI,JUN,62.7,
4014,4145,98.2,99.1,US,Friday June 29 2018,99.3,04:00 PM,Michigan Consumer Sentiment Final,JUN,98,
4015,4146,3.0%,,US,Friday June 29 2018,2.9%,04:00 PM,Michigan Inflation Expectations Final,JUN,2.8%,
4016,4147,2.60%,,US,Friday June 29 2018,2.6%,04:00 PM,Michigan 5 Year Inflation Expectations Final,JUN,2.5%,
4017,4148,116.5,,US,Friday June 29 2018,117.9,04:00 PM,Michigan Current Conditions Final,JUN,111.8,
4018,4149,86.3,,US,Friday June 29 2018,87.4,04:00 PM,Michigan Consumer Expectations Final,JUN,89.1,
4019,4150,858,,US,Friday June 29 2018,864,07:00 PM,Baker Hughes Oil Rig Count,29/JUN,862,
4020,4151,,,EA,Friday June 29 2018,,,Euro Summit,,,
4021,4152,¥27.4B,,JP,Thursday June 28 2018,¥ 271.6B,01:50 AM,Foreign Bond Investment,23/JUN,¥1511.9B,Previous revised from ¥1490.4B
4022,4153,¥-483.5B,,JP,Thursday June 28 2018,¥ -65.7B,01:50 AM,Stock Investment by Foreigners,23/JUN,¥-40B,Previous revised from ¥-40.8B
4023,4154,-1.7%,-0.9%,JP,Thursday June 28 2018,-0.7%,01:50 AM,Retail Sales MoM,MAY,1.3%,Previous revised from 1.4%
4024,4155,0.6%,1.3%,JP,Thursday June 28 2018,1.4%,01:50 AM,Retail Sales YoY,MAY,1.5%,Previous revised from 1.6%
4025,4156,10.7,10.6,DE,Thursday June 28 2018,10.6,08:00 AM,GfK Consumer Confidence,JUL,10.7,
4026,4157,0.2%,,ES,Thursday June 28 2018,0.4%,09:00 AM,Harmonised Inflation Rate MoM Prel,JUN,0.9%,
4027,4158,2.3%,2.3%,ES,Thursday June 28 2018,1.9%,09:00 AM,Harmonised Inflation Rate YoY Prel,JUN,2.1%,
4028,4159,2.3%,2.2%,ES,Thursday June 28 2018,1.9%,09:00 AM,Inflation Rate YoY Prel,JUN,2.1%,
4029,4160,0.3%,,ES,Thursday June 28 2018,0.4%,09:00 AM,Inflation Rate MoM Prel,JUN,0.9%,
4030,4161,-0.1%,,ES,Thursday June 28 2018,0.1%,09:00 AM,Retail Sales MoM,MAY,-0.4%,Previous revised from -0.3%
4031,4162,-0.3%,,ES,Thursday June 28 2018,1.5%,09:00 AM,Retail Sales YoY,MAY,0.3%,Previous revised from 0.5%
4032,4163,9.5,,AT,Thursday June 28 2018,10.4,11:00 AM,Business Confidence,JUN,10.8,
4033,4164,9.2,,AT,Thursday June 28 2018,11.5,11:00 AM,Consumer Confidence,JUN,11.2,
4034,4165,1.39,1.4,EA,Thursday June 28 2018,1.15,11:00 AM,Business Confidence,JUN,1.44,Previous revised from 1.45
4035,4166,14.4,14.2,EA,Thursday June 28 2018,14,11:00 AM,Services Sentiment,JUN,14.3,
4036,4167,-0.5,-0.5,EA,Thursday June 28 2018,-0.5,11:00 AM,Consumer Confidence Final,JUN,0.2,
4037,4168,17.5,,EA,Thursday June 28 2018,15.8,11:00 AM,Consumer Inflation Expectations,JUN,17.5,
4038,4169,112.3,112,EA,Thursday June 28 2018,110.6,11:00 AM,Economic Sentiment,JUN,112.5,
4039,4170,6.9,6.4,EA,Thursday June 28 2018,6.5,11:00 AM,Industrial Sentiment,JUN,6.9,Previous revised from 6.8
4040,4171,,,EA,Thursday June 28 2018,,11:00 AM,ECB Economic Bulletin,,,
4041,4172,102.5,,GR,Thursday June 28 2018,104,11:00 AM,Business Confidence,JUN,104.2,
4042,4173,-52.4,,GR,Thursday June 28 2018,-47.4,11:00 AM,Consumer Confidence,JUN,-51,
4043,4174,1.5%,1.4%,IT,Thursday June 28 2018,1.2%,11:00 AM,Harmonised Inflation Rate YoY Prel,JUN,1%,
4044,4175,0.3%,0.2%,IT,Thursday June 28 2018,0.4%,11:00 AM,Harmonised Inflation Rate MoM Prel,JUN,0.3%,
4045,4176,1.4%,1.3%,IT,Thursday June 28 2018,1.2%,11:00 AM,Inflation Rate YoY Prel,JUN,1%,
4046,4177,0.3%,0.2%,IT,Thursday June 28 2018,0.3%,11:00 AM,Inflation Rate MoM Prel,JUN,0.3%,
4047,4178,1.82%,,IT,Thursday June 28 2018,,11:45 AM,5-Year BTP Auction,,2.32%,
4048,4179,2.77%,,IT,Thursday June 28 2018,,11:45 AM,10-Year BTP Auction,,3%,
4049,4180,0.2,,ES,Thursday June 28 2018,4.5,12:00 PM,Business Confidence,JUN,1.1,Previous revised from 2.1
4050,4181,2.1%,2.1%,DE,Thursday June 28 2018,2%,02:00 PM,Harmonised Inflation Rate YoY Prel,JUN,2.2%,
4051,4182,0.1%,0.2%,DE,Thursday June 28 2018,0.4%,02:00 PM,Harmonised Inflation Rate MoM Prel,JUN,0.6%,
4052,4183,2.1%,2.1%,DE,Thursday June 28 2018,2.1%,02:00 PM,Inflation Rate YoY Prel,JUN,2.2%,
4053,4184,0.1%,0.1%,DE,Thursday June 28 2018,0.4%,02:00 PM,Inflation Rate MoM Prel,JUN,0.5%,
4054,4185,1705K,1725K,US,Thursday June 28 2018,1705K,02:30 PM,Continuing Jobless Claims,16/JUN,1726K,Previous revised from 1723K
4055,4186,8.7%,1.9%,US,Thursday June 28 2018,5.9%,02:30 PM,Corporate Profits QoQ Final,Q1,1.7%,
4056,4187,2.2%,1.9%,US,Thursday June 28 2018,1.9%,02:30 PM,GDP Price Index QoQ Final,Q1,2.3%,
4057,4188,2%,2.2%,US,Thursday June 28 2018,2.2%,02:30 PM,GDP Growth Rate QoQ Final,Q1,2.9%,
4058,4189,2.5%,2.6%,US,Thursday June 28 2018,,02:30 PM,PCE Prices QoQ Final,Q1,2.7%,
4059,4190,2.3%,2.3%,US,Thursday June 28 2018,,02:30 PM,Core PCE Prices QoQ Final,Q1,1.9%,Previous revised from 2.5%
4060,4191,227K,220K,US,Thursday June 28 2018,220K,02:30 PM,Initial Jobless Claims,23/JUN,218K,
4061,4192,,,GB,Thursday June 28 2018,,03:30 PM,BoE Haldane Speech,,,
4062,4193,66Bcf,71Bcf,US,Thursday June 28 2018,94Bcf,04:30 PM,EIA Natural Gas Stocks Change,22/JUN,91Bcf,
4063,4194,,,US,Thursday June 28 2018,,04:45 PM,Fed Bullard Speech,,,
4064,4195,38,,US,Thursday June 28 2018,,05:00 PM,Kansas Fed Manufacturing Index,JUN,41,
4065,4196,,,US,Thursday June 28 2018,,06:00 PM,Fed Bostic Speech,,,
4066,4197,2.809%,,US,Thursday June 28 2018,,07:00 PM,7-Year Note Auction,,2.930%,
4067,4198,,,US,Thursday June 28 2018,,10:30 PM,Fed CCAR Results For Big Banks,,,
4068,4199,,,EA,Thursday June 28 2018,,,ECB General Council Meeting,,,
4069,4200,16.5%,,CN,Wednesday June 27 2018,,03:30 AM,Industrial Profits (YTD) YoY,MAY,15.0%,
4070,4201,2%,1.7%,GB,Wednesday June 27 2018,2.7%,08:00 AM,Nationwide Housing Prices YoY,JUN,2.4%,
4071,4202,0.5%,0.3%,GB,Wednesday June 27 2018,0.4%,08:00 AM,Nationwide Housing Prices MoM,JUN,0.2%,Previous revised from -0.2%
4072,4203,97,100,FR,Wednesday June 27 2018,102,08:45 AM,Consumer Confidence,JUN,99,Previous revised from 100
4073,4204,56.6,,AT,Wednesday June 27 2018,56.5,10:00 AM,Bank Austria Manufacturing PMI,JUN,57.3,
4074,4205,2.9%,3%,EA,Wednesday June 27 2018,3%,10:00 AM,Loan Growth YoY,MAY,2.9%,
4075,4206,4%,3.8%,EA,Wednesday June 27 2018,4%,10:00 AM,M3 Money Supply YoY,MAY,3.8%,Previous revised from 3.9%
4076,4207,106.9,106.9,IT,Wednesday June 27 2018,109,10:00 AM,Business Confidence,JUN,107.6,Previous revised from 107.7
4077,4208,116.2,113.2,IT,Wednesday June 27 2018,115.1,10:00 AM,Consumer Confidence,JUN,113.9,Previous revised from 113.7
4078,4209,8,,CH,Wednesday June 27 2018,21.5,10:00 AM,Economic Sentiment Index,JUN,28,
4079,4210,,,GB,Wednesday June 27 2018,,10:30 AM,BoE Carney Speech,,,
4080,4211,,,GB,Wednesday June 27 2018,,10:30 AM,BoE Financial Stability Report,,,
4081,4212,0.092%,,IT,Wednesday June 27 2018,,11:45 AM,6-Month BOT Auction,,1.213%,
4082,4213,10.3K,,FR,Wednesday June 27 2018,17.6K,12:00 PM,Unemployment Benefit Claims,MAY,12.4K,
4083,4214,3444.5K,,FR,Wednesday June 27 2018,3451.8K,12:00 PM,Jobseekers Total,MAY,3434.2K,
4084,4215,0.7%,,IT,Wednesday June 27 2018,0.5%,12:00 PM,PPI MoM,MAY,-0.3%,Previous revised from -0.4%
4085,4216,2.4%,,IT,Wednesday June 27 2018,1.7%,12:00 PM,PPI YoY,MAY,1.4%,Previous revised from 1.3%
4086,4217,32,10,GB,Wednesday June 27 2018,15,12:00 PM,CBI Distributive Trades,JUN,11,
4087,4218,-4.9%,,US,Wednesday June 27 2018,0.13%,01:00 PM,MBA Mortgage Applications,22/JUN,5.1%,
4088,4219,4.84%,,US,Wednesday June 27 2018,4.82%,01:00 PM,MBA 30-Year Mortgage Rate,22/JUN,4.83%,
4089,4220,$-64.85B,,US,Wednesday June 27 2018,,02:30 PM,Goods Trade Balance Adv,MAY,$-67.34B,Previous revised from $-68.19B
4090,4221,-0.6%,-1%,US,Wednesday June 27 2018,0.7%,02:30 PM,Durable Goods Orders MoM,MAY,-1%,Previous revised from -1.7%
4091,4222,-1.5%,-1%,US,Wednesday June 27 2018,0.3%,02:30 PM,Durable Goods Orders ex Defense MoM,MAY,-1.5%,Previous revised from -1.9%
4092,4223,-0.3%,0.5%,US,Wednesday June 27 2018,0.5%,02:30 PM,Durable Goods Orders Ex Transp MoM,MAY,1.9%,Previous revised from 0.9%
4093,4224,0.5%,,US,Wednesday June 27 2018,0.9%,02:30 PM,Wholesale Inventories MoM Adv,MAY,0.1%,
4094,4225,,,CH,Wednesday June 27 2018,,03:00 PM,SNB Quarterly Bulletin,,,
4095,4226,-0.5%,0.5%,US,Wednesday June 27 2018,,04:00 PM,Pending Home Sales MoM,MAY,-1.3%,
4096,4227,-2.2%,,US,Wednesday June 27 2018,-1.8%,04:00 PM,Pending Home Sales YoY,MAY,-2.1%,
4097,4228,-9.891M,-2.572M,US,Wednesday June 27 2018,-1.3M,04:30 PM,EIA Crude Oil Stocks Change,22/JUN,-5.914M,
4098,4229,1.156M,1.313M,US,Wednesday June 27 2018,0.6M,04:30 PM,EIA Gasoline Stocks Change,22/JUN,3.277M,
4099,4230,,,US,Wednesday June 27 2018,,05:00 PM,Fed Quarles Speech,,,
4100,4231,,,US,Wednesday June 27 2018,,06:15 PM,Fed Rosengren Speech,,,
4101,4232,2.719%,,US,Wednesday June 27 2018,,07:00 PM,5-Year Note Auction,,2.864%,
4102,4233,,,CA,Wednesday June 27 2018,,09:15 PM,BoC Gov Poloz Speech,,,
4103,4234,,,EA,Wednesday June 27 2018,,,ECB Non-Monetary Policy Meeting,,,
4104,4235,,,EA,Tuesday June 26 2018,,04:20 AM,ECB Cœuré Speech,,,
4105,4236,,,AU,Tuesday June 26 2018,,04:40 AM,RBA Richards Speech,,,
4106,4237,11.1%,8.3%,SG,Tuesday June 26 2018,7.1%,07:00 AM,Industrial Production YoY,MAY,9.1%,
4107,4238,0.4%,1.2%,SG,Tuesday June 26 2018,0.4%,07:00 AM,Industrial Production MoM,MAY,0.5%,Previous revised from 0.2%
4108,4239,39.244K,38.2K,GB,Tuesday June 26 2018,42.8K,10:30 AM,UK Finance Mortgage Approvals,MAY,38.327K,Previous revised from 38.0K
4109,4240,,,GB,Tuesday June 26 2018,,11:00 AM,BoE Haskel Speech,,,
4110,4241,,,GB,Tuesday June 26 2018,,11:30 AM,BoE McCafferty Speech,,,
4111,4242,3.1%,,US,Tuesday June 26 2018,,02:55 PM,Redbook YoY,23/JUN,4.7%,
4112,4243,-0.5%,,US,Tuesday June 26 2018,,02:55 PM,Redbook MoM,23/JUN,0%,
4113,4244,0.8%,,US,Tuesday June 26 2018,0.2%,03:00 PM,S&P/Case-Shiller Home Price MoM,APR,1%,
4114,4245,6.6%,6.8%,US,Tuesday June 26 2018,6.7%,03:00 PM,S&P/Case-Shiller Home Price YoY,APR,6.7%,Previous revised from 6.8%
4115,4246,126.4,128,US,Tuesday June 26 2018,,04:00 PM,CB Consumer Confidence,JUN,128.8,Previous revised from 128
4116,4247,20,15,US,Tuesday June 26 2018,14,04:00 PM,Richmond Fed Manufacturing Index,JUN,16,
4117,4248,1.770%,,US,Tuesday June 26 2018,,05:30 PM,4-Week Bill Auction,,1.815%,
4118,4249,2.538%,,US,Tuesday June 26 2018,,07:00 PM,2-Year Note Auction,,2.590%,
4119,4250,,,US,Tuesday June 26 2018,,07:00 PM,Fed Bostic Speech,,,
4120,4251,,,US,Tuesday June 26 2018,,07:45 PM,Fed Kaplan Speech,,,
4121,4252,-9.228M,,US,Tuesday June 26 2018,-0.14M,10:30 PM,API Crude Oil Stock Change,22/JUN,-3.016M,
4122,4253,,,JP,Monday June 25 2018,,01:50 AM,BoJ Summary of Opinions,,,
4123,4254,117.5,115.7,JP,Monday June 25 2018,117.7,07:00 AM,Coincident Index Final,APR,116,
4124,4255,106.2,105.6,JP,Monday June 25 2018,105.6,07:00 AM,Leading Economic Index Final,APR,104.5,
4125,4256,1.5%,1.4%,SG,Monday June 25 2018,1.5%,07:00 AM,Core Inflation Rate YoY,MAY,1.3%,
4126,4257,0.4%,0.3%,SG,Monday June 25 2018,0.6%,07:00 AM,Inflation Rate YoY,MAY,0.1%,
4127,4258,0.6%,,SG,Monday June 25 2018,0.26%,07:00 AM,Inflation Rate MoM,MAY,-0.5%,
4128,4259,5.9%,,AT,Monday June 25 2018,4.5%,09:00 AM,Industrial Production YoY,APR,5.2%,Previous revised from 3.9%
4129,4260,2.9%,,ES,Monday June 25 2018,2%,09:00 AM,PPI YoY,MAY,1.8%,Previous revised from 1.9%
4130,4261,CHF18.1B,,CH,Monday June 25 2018,CHF19.5B,09:00 AM,Current Account,Q1,CHF19.7B,
4131,4262,€-3.1B,,ES,Monday June 25 2018,€-1.4B,09:45 AM,Balance of Trade,APR,€-0.83B,
4132,4263,101.8,101.7,DE,Monday June 25 2018,101.5,10:00 AM,Ifo Business Climate,JUN,102.3,Previous revised from 102.2
4133,4264,105.1,105.6,DE,Monday June 25 2018,105.1,10:00 AM,Ifo Current Conditions,JUN,106.1,Previous revised from 106
4134,4265,98.6,98,DE,Monday June 25 2018,99,10:00 AM,Ifo Expectations,JUN,98.6,Previous revised from 98.5
4135,4266,-0.15,0.09,US,Monday June 25 2018,0.34,02:30 PM,Chicago Fed National Activity Index,MAY,0.42,Previous revised from 0.34
4136,4267,-0.609%,,FR,Monday June 25 2018,,03:00 PM,3-Month BTF Auction,JUN/25,-0.603%,
4137,4268,-0.584%,,FR,Monday June 25 2018,,03:00 PM,12-Month BTF Auction,JUN/25,-0.591%,
4138,4269,-0.604%,,FR,Monday June 25 2018,,03:00 PM,6-Month BTF Auction,JUN/25,-0.601%,
4139,4270,6.7%,0.7%,US,Monday June 25 2018,0.6%,04:00 PM,New Home Sales MoM,MAY,-3.7%,Previous revised from -1.5%
4140,4271,0.689M,0.667M,US,Monday June 25 2018,0.666M,04:00 PM,New Home Sales,MAY,0.646M,Previous revised from 0.662M
4141,4272,36.5,18.2,US,Monday June 25 2018,33.6,04:30 PM,Dallas Fed Manufacturing Index,JUN,26.8,
4142,4273,1.900%,,US,Monday June 25 2018,,05:30 PM,3-Month Bill Auction,,1.900%,
4143,4274,2.085%,,US,Monday June 25 2018,,05:30 PM,6-Month Bill Auction,,2.075%,
4144,4275,0.7%,0.7%,JP,Friday June 22 2018,0.7%,01:30 AM,Core Inflation Rate YoY,MAY,0.7%,
4145,4276,0.3%,0.3%,JP,Friday June 22 2018,,01:30 AM,Inflation Rate Ex-Food and Energy YoY,MAY,0.4%,
4146,4277,0.7%,0.3%,JP,Friday June 22 2018,0.6%,01:30 AM,Inflation Rate YoY,MAY,0.6%,
4147,4278,0.1%,,JP,Friday June 22 2018,0.2%,01:30 AM,Inflation Rate MoM,MAY,-0.4%,
4148,4279,53.1,52.6,JP,Friday June 22 2018,52.4,02:30 AM,Nikkei Manufacturing PMI Flash,JUN,52.8,
4149,4280,1%,0.9%,JP,Friday June 22 2018,,06:30 AM,All Industry Activity Index MoM,APR,0%,
