rowid,kepoi_name,kepler_name,planet_result,planet_prediction,planet_confidence,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag
2958,K00479.01,Kepler-569 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,34.18884323,5.7e-05,-5.7e-05,193.38946,0.00129,-0.00129,0.065,0.305,-0.065,5.3278,0.0482,-0.0482,1063.2,14.5,-14.5,2.97,0.35,-0.26,526.0,,,18.05,6.39,-4.14,83.9,1.0,q1_q17_dr25_tce,5515.0,109.0,-109.0,4.453,0.076,-0.09300000000000001,0.925,0.11,-0.08,283.50726000000003,48.552601,14.106
2959,K00480.01,Kepler-570 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,4.30165843,3.67e-06,-3.67e-06,172.311001,0.000678,-0.000678,0.547,0.371,-0.337,2.1055,0.0295,-0.0295,739.4,9.8,-9.8,2.42,0.55,-0.24,1009.0,,,244.48,170.96,-66.17,88.3,1.0,q1_q17_dr25_tce,5480.0,164.0,-147.0,4.5089999999999995,0.063,-0.147,0.865,0.198,-0.085,290.43759,48.791882,14.332
2960,K00481.01,Kepler-166 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,7.6502435129999995,6.396e-06,-6.396e-06,171.972352,0.000669,-0.000669,0.014,0.323,-0.014,2.752,0.0222,-0.0222,981.4,10.7,-10.7,2.3,0.45,-0.18,772.0,,,83.86,50.76,-19.92,98.8,1.0,q1_q17_dr25_tce,5409.0,162.0,-146.0,4.609,0.03,-0.12,0.746,0.145,-0.058,293.16016,48.881190999999994,14.700999999999999
2961,K02298.03,,CANDIDATE,CANDIDATE,0.425,0,0,0,0,2.47240869,1.886e-05,-1.886e-05,132.44083999999998,0.00584,-0.00584,0.319,0.137,-0.319,1.87,0.173,-0.173,47.5,6.0,-6.0,0.36,0.02,-0.02,887.0,,,145.69,36.41,-32.07,9.0,4.0,q1_q17_dr25_tce,4729.0,143.0,-143.0,4.726,0.045,-0.024,0.525,0.028,-0.032,288.45605,45.80212,13.831
2962,K00524.01,,CANDIDATE,CANDIDATE,1.0,0,0,0,0,4.592393816,3.023e-06,-3.023e-06,172.00472299999998,0.000523,-0.000523,0.02,0.322,-0.02,2.2748,0.0192,-0.0192,1027.7,11.2,-11.2,2.51,0.45,-0.2,924.0,,,172.6,97.43,-42.17,105.9,1.0,q1_q17_dr25_tce,5351.0,159.0,-159.0,4.582,0.03,-0.12,0.796,0.143,-0.061,283.54416000000003,45.225552,14.868
2963,K00525.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,0,0,11.53029332,1.39e-05,-1.39e-05,173.726435,0.000907,-0.000907,0.027,0.411,-0.027,1.8385,0.0336,-0.0336,1209.3,25.0,-25.0,3.98,1.1,-0.89,873.0,,,137.08,110.58,-63.99,57.6,1.0,q1_q17_dr25_tce,5770.0,156.0,-173.0,4.289,0.204,-0.185,1.152,0.316,-0.258,300.90778,45.45787,14.539000000000001
2964,K00085.01,Kepler-65 c,CONFIRMED,CANDIDATE,1.0,0,0,0,0,5.859935955,3.782e-06,-3.782e-06,132.040528,0.000542,-0.000542,0.049,0.281,-0.049,4.0185,0.0168,-0.0168,322.8,1.9,-1.9,2.56,0.1,-0.15,1246.0,,,569.5,73.19,-93.4,186.7,1.0,q1_q17_dr25_tce,6181.0,68.0,-86.0,4.22,0.033,-0.027000000000000003,1.424,0.056,-0.085,288.68869,41.15118,11.017999999999999
2965,K00526.01,Kepler-586 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,2.104721971,8.86e-07,-8.86e-07,171.044219,0.000334,-0.000334,0.001,0.309,-0.001,1.7547,0.0122,-0.0122,905.5,7.1,-7.1,2.89,0.79,-0.26,1365.0,,,821.44,654.25,-226.9,153.3,1.0,q1_q17_dr25_tce,5703.0,154.0,-188.0,4.498,0.036000000000000004,-0.204,0.975,0.264,-0.088,293.05722000000003,45.551189,14.427
2966,K00527.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,1,1,10.63624422,5.216e-05,-5.216e-05,171.69616000000002,0.00417,-0.00417,0.978,0.041,-0.721,5.055,0.275,-0.275,231.7,9.9,-9.9,1.58,0.39,-0.12,756.0,,,77.02,55.29,-18.75,24.7,1.0,q1_q17_dr25_tce,5834.0,157.0,-157.0,4.591,0.038,-0.161,0.774,0.188,-0.063,285.3385,46.309872,14.433
2967,K03091.02,,CANDIDATE,CANDIDATE,0.879,0,0,0,0,7.9069765,0.0001967,-0.0001967,138.427,0.0179,-0.0179,0.038,0.411,-0.038,4.634,0.503,-0.503,126.1,17.2,-17.2,1.13,0.36,-0.12,994.0,,,230.28,215.89,-69.25,8.3,2.0,q1_q17_dr25_tce,6347.0,170.0,-207.0,4.4639999999999995,0.054000000000000006,-0.21600000000000003,0.996,0.319,-0.106,290.88831,51.248169,15.372
2968,K00578.01,Kepler-608 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,6.412512952999999,5.0360000000000006e-06,-5.0360000000000006e-06,169.879804,0.000616,-0.000616,0.553,0.037,-0.381,5.2677,0.0434,-0.0434,1156.4,7.6,-7.6,3.89,1.18,-0.63,1069.0,,,308.76,283.35,-120.95,183.1,1.0,q1_q17_dr25_tce,6026.0,190.0,-211.0,4.3660000000000005,0.10800000000000001,-0.201,1.108,0.334,-0.18,293.88293,44.638088,14.684000000000001
2969,K00579.01,Kepler-190 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,2.019997006,2.758e-06,-2.758e-06,170.07102,0.00104,-0.00104,0.502,0.069,-0.422,1.8073,0.0369,-0.0369,332.8,7.4,-7.4,1.46,0.09,-0.08,1166.0,,,437.85,99.07,-72.72,52.1,1.0,q1_q17_dr25_tce,5103.0,101.0,-101.0,4.562,0.032,-0.052000000000000005,0.787,0.051,-0.039,288.58405,44.733799,14.137
2970,K00579.02,Kepler-190 c,CONFIRMED,CANDIDATE,1.0,0,0,0,0,3.7630415310000003,6.012e-06,-6.012e-06,132.59298,0.00136,-0.00136,0.76,0.0,-0.55,1.6011,0.042,-0.042,354.5,10.6,-10.6,1.63,0.1,-0.08,948.0,,,190.67,43.15,-31.66,37.9,2.0,q1_q17_dr25_tce,5103.0,101.0,-101.0,4.562,0.032,-0.052000000000000005,0.787,0.051,-0.039,288.58405,44.733799,14.137
2971,K00580.01,Kepler-609 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,6.5212096289999995,8.386e-06,-8.386e-06,175.7111,0.00105,-0.00105,0.514,0.365,-0.297,2.7975,0.0406,-0.0406,760.4,12.6,-12.6,2.54,0.61,-0.25,932.0,,,178.27,123.97,-49.58,69.8,1.0,q1_q17_dr25_tce,5822.0,140.0,-175.0,4.529,0.042,-0.168,0.898,0.217,-0.087,292.22031,44.700031,14.856
2972,K00581.01,Kepler-610 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,6.9969262389999995,6.335e-06,-6.335e-06,175.91428100000002,0.000719,-0.000719,0.022,0.345,-0.022,2.7374,0.0259,-0.0259,1317.4,15.0,-15.0,3.21,0.77,-0.31,888.0,,,147.07,102.02,-40.87,101.6,1.0,q1_q17_dr25_tce,5713.0,138.0,-173.0,4.541,0.042,-0.168,0.893,0.215,-0.086,293.17132999999995,45.065601,14.807
2973,K04288.04,,CANDIDATE,CANDIDATE,0.676,0,0,0,0,13.9509565,0.0001968,-0.0001968,144.287,0.0108,-0.0108,0.467,0.494,-0.259,5.231,0.332,-0.332,35.7,3.4,-3.4,0.75,0.12,-0.12,849.0,,,122.88,57.26,-41.93,11.2,3.0,q1_q17_dr25_tce,5888.0,105.0,-129.0,4.275,0.14400000000000002,-0.10800000000000001,1.227,0.207,-0.186,287.37125,39.603569,12.4
2974,K00425.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,0,0,5.428344915,2.344e-06,-2.344e-06,169.753676,0.000329,-0.000329,0.911,0.15,-0.063,1.8931,0.0328,-0.0328,13756.0,139.0,-139.0,14.88,4.81,-1.6,1033.0,,,269.19,260.64,-83.78,140.2,1.0,q1_q17_dr25_tce,5936.0,176.0,-211.0,4.501,0.039,-0.221,0.965,0.312,-0.104,297.97424,46.804562,14.694
2975,K00426.01,,CANDIDATE,CANDIDATE,1.0,0,0,0,0,16.30141333,2.702e-05,-2.702e-05,172.14753000000002,0.00133,-0.00133,0.786,0.035,-0.549,3.5764,0.0665,-0.0665,942.3,17.3,-17.3,3.84,1.19,-0.73,805.0,,,99.08,90.11,-42.58,62.4,1.0,q1_q17_dr25_tce,6072.0,168.0,-210.0,4.328,0.132,-0.198,1.138,0.351,-0.216,294.02297999999996,46.99955,14.732999999999999
2976,K00427.01,,CANDIDATE,CANDIDATE,1.0,0,0,0,0,24.61480613,3.227e-05,-3.227e-05,191.741225,0.000999,-0.000999,0.435,0.268,-0.297,2.6602,0.0407,-0.0407,1798.0,28.8,-28.8,4.2,0.45,-0.5,586.0,,,27.93,8.48,-7.5,68.4,1.0,q1_q17_dr25_tce,5312.0,79.0,-79.0,4.3839999999999995,0.13699999999999998,-0.07400000000000001,0.986,0.107,-0.117,283.0228,47.261131,14.620999999999999
2977,K00427.02,Kepler-549 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,42.949522,0.0001488,-0.0001488,153.73786,0.00264,-0.00264,0.013,0.42,-0.013,5.4154,0.0898,-0.0898,959.1,25.2,-25.2,2.98,0.32,-0.35,487.0,,,13.29,4.04,-3.57,40.7,2.0,q1_q17_dr25_tce,5312.0,79.0,-79.0,4.3839999999999995,0.13699999999999998,-0.07400000000000001,0.986,0.107,-0.117,283.0228,47.261131,14.620999999999999
2978,K00427.03,Kepler-549 c,CONFIRMED,CANDIDATE,0.995,0,0,0,0,117.033521,0.001124,-0.001124,245.65151,0.00728,-0.00728,0.188,0.257,-0.188,6.822,0.209,-0.209,770.4,37.4,-37.4,2.68,0.29,-0.32,349.0,,,3.49,1.06,-0.93,21.9,3.0,q1_q17_dr25_tce,5312.0,79.0,-79.0,4.3839999999999995,0.13699999999999998,-0.07400000000000001,0.986,0.107,-0.117,283.0228,47.261131,14.620999999999999
2979,K01289.02,,FALSE POSITIVE,FALSE POSITIVE,0.001,1,0,0,0,386.39833,0.0123,-0.0123,365.94877,0.00848,-0.00848,0.287,0.192,-0.287,8.519,0.874,-0.874,748.0,313.0,-313.0,2.2,0.36,-0.23,214.0,,,0.49,0.28,-0.14,4.9,2.0,q1_q17_dr25_tce,5284.0,185.0,-185.0,4.523,0.076,-0.102,0.812,0.133,-0.082,297.71039,48.083832,15.399000000000001
2980,K00481.02,Kepler-166 d,CONFIRMED,CANDIDATE,1.0,0,0,0,0,1.55400389,9.87e-07,-9.87e-07,169.830304,0.000523,-0.000523,0.016,0.286,-0.015,1.7664,0.0161,-0.0161,465.8,6.6,-6.6,1.59,0.31,-0.12,1313.0,,,704.5,426.4,-167.41,82.1,2.0,q1_q17_dr25_tce,5409.0,162.0,-146.0,4.609,0.03,-0.12,0.746,0.145,-0.058,293.16016,48.881190999999994,14.700999999999999
2981,K00481.03,Kepler-166 c,CONFIRMED,CANDIDATE,1.0,0,0,0,0,34.25951418,7.198e-05,-7.198e-05,183.23718,0.00166,-0.00166,0.008,0.404,-0.008,4.7743,0.0553,-0.0553,1072.5,16.8,-16.8,2.41,0.46,-0.19,468.0,,,11.36,6.88,-2.7,66.1,3.0,q1_q17_dr25_tce,5409.0,162.0,-146.0,4.609,0.03,-0.12,0.746,0.145,-0.058,293.16016,48.881190999999994,14.700999999999999
2982,K00081.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,1,0,0,0,23.8761144,2.239e-05,-2.239e-05,143.07006,0.000773,-0.000773,0.014,0.214,-0.014,9.3113,0.0271,-0.0271,1611.7,8.5,-8.5,10.45,3.98,-1.71,1481.0,,,1135.6,1278.98,-464.56,225.5,2.0,q1_q17_dr25_tce,9974.0,275.0,-413.0,4.048,0.115,-0.214,2.533,0.965,-0.414,293.78574,45.01849,11.409
2983,K00482.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,1,0,4.99270186,1.125e-05,-1.125e-05,169.55323,0.00189,-0.00189,1.232,22.92,-0.233,3.1008,0.0878,-0.0878,557.4,15.7,-15.7,26.6,7.08,-3.8,1051.0,,,288.29,224.86,-98.17,42.3,1.0,q1_q17_dr25_tce,5724.0,152.0,-152.0,4.428999999999999,0.10099999999999999,-0.188,0.951,0.253,-0.136,296.80893,48.965389,14.917
2984,K00483.01,Kepler-571 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,4.79860021,5.329e-06,-5.329e-06,173.257466,0.000839,-0.000839,0.594,0.02,-0.463,3.0384,0.0367,-0.0367,817.4,10.6,-10.6,2.51,0.62,-0.2,978.0,,,216.54,156.47,-54.81,88.1,1.0,q1_q17_dr25_tce,5631.0,152.0,-169.0,4.5569999999999995,0.042,-0.168,0.847,0.207,-0.069,286.55102999999997,49.418739,14.675
2985,K00528.01,Kepler-178 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,9.57665962,1.065e-05,-1.065e-05,176.683759,0.0009,-0.0009,0.043,0.326,-0.043,3.3603,0.0295,-0.0295,746.8,9.9,-9.9,2.88,0.51,-0.46,846.0,,,121.26,57.08,-40.34,82.6,1.0,q1_q17_dr25_tce,5386.0,80.0,-72.0,4.322,0.159,-0.13,1.076,0.191,-0.173,287.1011,46.896481,14.597999999999999
2986,K00528.02,Kepler-178 d,CONFIRMED,CANDIDATE,1.0,0,0,0,0,96.6781852,0.000277,-0.000277,140.18339,0.00251,-0.00251,0.336,0.111,-0.336,5.6957,0.0832,-0.0832,951.3,21.6,-21.6,3.29,0.59,-0.53,392.0,,,5.55,2.62,-1.84,44.7,2.0,q1_q17_dr25_tce,5386.0,80.0,-72.0,4.322,0.159,-0.13,1.076,0.191,-0.173,287.1011,46.896481,14.597999999999999
2987,K00528.03,Kepler-178 c,CONFIRMED,CANDIDATE,1.0,0,0,0,0,20.55280311,3.574e-05,-3.574e-05,145.02837,0.00138,-0.00138,0.568,0.023,-0.45,2.2013,0.0434,-0.0434,727.3,18.8,-18.8,2.99,0.53,-0.48,656.0,,,43.8,20.61,-14.57,42.4,3.0,q1_q17_dr25_tce,5386.0,80.0,-72.0,4.322,0.159,-0.13,1.076,0.191,-0.173,287.1011,46.896481,14.597999999999999
2988,K00529.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,0,0,2.023123903,1.254e-06,-1.254e-06,170.513161,0.000476,-0.000476,0.026,0.398,-0.026,1.1829,0.0196,-0.0196,1288.9,20.5,-20.5,2.87,0.58,-0.25,1266.0,,,608.26,403.56,-168.55,76.0,1.0,q1_q17_dr25_tce,5559.0,194.0,-194.0,4.578,0.034,-0.136,0.803,0.164,-0.07,288.84902999999997,47.021969,14.977
2989,K00530.01,Kepler-587 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,10.94026745,3.014e-05,-3.014e-05,170.30551,0.00221,-0.00221,0.595,0.037,-0.453,2.3494,0.0691,-0.0691,538.6,20.2,-20.2,2.08,0.52,-0.18,764.0,,,80.52,59.0,-21.39,30.6,1.0,q1_q17_dr25_tce,5749.0,156.0,-173.0,4.547,0.042,-0.168,0.864,0.214,-0.077,288.67068,47.399139,14.909
2990,K03138.02,,FALSE POSITIVE,FALSE POSITIVE,0.374,1,0,0,0,19.5352551,0.0001018,-0.0001018,148.20373999999998,0.00531,-0.00531,0.702,0.235,-0.496,1.013,0.145,-0.145,1732.0,239.0,-239.0,0.53,0.0,0.0,161.0,,,0.16,0.0,0.0,5.9,2.0,q1_q17_dr25_tce,2703.0,0.0,0.0,5.274,0.0,0.0,0.118,0.0,0.0,292.50378,41.830421,17.131
2991,K00531.01,,CANDIDATE,CANDIDATE,1.0,0,0,0,0,3.6874698319999997,3.9e-07,-3.9e-07,170.8803594,8.45e-05,-8.45e-05,0.919,0.026,-0.016,1.0668,0.0166,-0.0166,5057.6,18.9,-18.9,5.78,0.22,-0.34,690.0,,,53.6,8.84,-9.66,363.9,1.0,q1_q17_dr25_tce,4004.0,79.0,-79.0,4.659,0.035,-0.015,0.606,0.023,-0.035,287.69119,47.546902,14.418
2992,K00581.02,Kepler-610 c,CONFIRMED,CANDIDATE,0.962,0,0,0,0,151.863949,0.001387,-0.001387,143.31451,0.00719,-0.00719,0.016,0.437,-0.016,8.577,0.201,-0.201,747.0,33.9,-33.9,2.41,0.58,-0.23,318.0,,,2.43,1.68,-0.68,22.5,2.0,q1_q17_dr25_tce,5713.0,138.0,-173.0,4.541,0.042,-0.168,0.893,0.215,-0.086,293.17132999999995,45.065601,14.807
2993,K00582.01,Kepler-191 d,CONFIRMED,CANDIDATE,0.989,0,0,0,0,5.945043547999999,7.5529999999999995e-06,-7.5529999999999995e-06,170.472237,0.00099,-0.00099,0.763,0.093,-0.53,2.7004,0.0376,-0.0376,800.2,13.2,-13.2,2.69,0.14,-0.23,857.0,,,127.64,22.77,-27.56,67.6,1.0,q1_q17_dr25_tce,5105.0,84.0,-76.0,4.468999999999999,0.09,-0.03,0.868,0.044,-0.076,291.18338,45.323170000000005,14.808
2994,K00092.01,,CANDIDATE,CANDIDATE,0.972,0,0,0,0,65.7045275,0.0001061,-0.0001061,137.44275,0.0014,-0.0014,0.663,0.197,-0.434,3.3104,0.0469,-0.0469,636.1,10.3,-10.3,2.78,0.42,-0.25,472.0,,,11.72,4.96,-2.8,70.4,1.0,q1_q17_dr25_tce,5918.0,106.0,-130.0,4.4030000000000005,0.08,-0.12,1.043,0.158,-0.092,283.37482,43.788219,11.667
2995,K00582.02,Kepler-191 c,CONFIRMED,CANDIDATE,0.994,0,0,0,0,17.73842886,5.926e-05,-5.926e-05,148.99011000000002,0.00285,-0.00285,0.845,0.073,-0.615,3.0049,0.0876,-0.0876,605.5,22.3,-22.3,2.47,0.12,-0.22,596.0,,,29.74,5.3,-6.42,29.8,2.0,q1_q17_dr25_tce,5105.0,84.0,-76.0,4.468999999999999,0.09,-0.03,0.868,0.044,-0.076,291.18338,45.323170000000005,14.808
2996,K00582.03,Kepler-191 b,CONFIRMED,CANDIDATE,0.559,0,0,0,0,9.93962361,5.538e-05,-5.538e-05,131.58267,0.00421,-0.00421,0.934,0.01,-0.661,3.432,0.103,-0.103,300.1,15.5,-15.5,1.93,0.09,-0.17,722.0,,,64.29,11.47,-13.88,21.5,3.0,q1_q17_dr25_tce,5105.0,84.0,-76.0,4.468999999999999,0.09,-0.03,0.868,0.044,-0.076,291.18338,45.323170000000005,14.808
2997,K00428.01,Kepler-40 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,6.8731664,2.165e-06,-2.165e-06,172.518826,0.00024,-0.00024,0.055,0.132,-0.055,6.8569,0.0132,-0.0132,3753.8,8.4,-8.4,13.44,1.02,-1.12,1482.0,,,1140.56,288.6,-256.49,535.5,1.0,q1_q17_dr25_tce,6490.0,129.0,-129.0,3.9419999999999997,0.055,-0.049,2.179,0.166,-0.182,296.81369,47.526610999999995,14.588
2998,K00429.01,Kepler-550 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,8.600099313,5.05e-06,-5.05e-06,172.529281,0.00042,-0.00042,0.048,0.235,-0.048,4.0077,0.0199,-0.0199,2791.6,15.5,-15.5,4.17,0.53,-0.49,760.0,,,78.72,34.05,-23.7,209.2,1.0,q1_q17_dr25_tce,5246.0,158.0,-142.0,4.501,0.102,-0.085,0.805,0.103,-0.094,297.70023,47.86375,14.485999999999999
2999,K00430.01,Kepler-551 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,12.37646897,1.383e-05,-1.383e-05,179.404945,0.000869,-0.000869,0.468,0.347,-0.276,2.7075,0.0376,-0.0376,1709.0,23.8,-23.8,2.53,0.12,-0.11,483.0,,,12.87,2.37,-2.07,81.2,1.0,q1_q17_dr25_tce,4200.0,84.0,-84.0,4.664,0.022000000000000002,-0.025,0.607,0.028,-0.028,285.48505,48.054321,14.897
3000,K00430.02,,CANDIDATE,CANDIDATE,0.998,0,0,0,0,9.340538,0.0001052,-0.0001052,135.12248,0.00859,-0.00859,0.074,0.385,-0.074,2.57,0.292,-0.292,200.8,22.6,-22.6,0.84,0.04,-0.04,530.0,,,18.69,3.45,-3.01,11.1,2.0,q1_q17_dr25_tce,4200.0,84.0,-84.0,4.664,0.022000000000000002,-0.025,0.607,0.028,-0.028,285.48505,48.054321,14.897
3001,K01353.03,,CANDIDATE,CANDIDATE,0.343,0,0,0,0,330.071558,0.006272,-0.006272,340.9871,0.0109,-0.0109,0.681,0.048,-0.491,4.295,0.398,-0.398,616.7,66.0,-66.0,2.94,0.46,-0.38,286.0,,,1.58,0.69,-0.47,10.6,3.0,q1_q17_dr25_tce,5933.0,107.0,-119.0,4.342,0.115,-0.115,1.115,0.174,-0.142,297.46533,42.882839000000004,13.956
3002,K00431.01,Kepler-153 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,18.87022157,2.58e-05,-2.58e-05,178.71167,0.00105,-0.00105,0.013,0.409,-0.013,3.1404,0.0405,-0.0405,1096.6,16.8,-16.8,2.82,0.53,-0.39,621.0,,,35.13,21.35,-11.94,72.7,1.0,q1_q17_dr25_tce,5402.0,175.0,-159.0,4.452,0.126,-0.14,0.865,0.164,-0.119,282.46051,48.257118,14.262
3003,K00070.05,Kepler-20 f,CONFIRMED,CANDIDATE,0.963,0,0,0,0,19.5776073,0.0001427,-0.0001427,135.2032,0.00597,-0.00597,0.049,0.394,-0.049,3.382,0.17,-0.17,98.1,6.0,-6.0,0.9,0.1,-0.08,628.0,,,36.82,12.2,-8.67,17.2,5.0,q1_q17_dr25_tce,5465.0,109.0,-109.0,4.449,0.085,-0.085,0.925,0.101,-0.083,287.698,42.338718,12.498
3004,K00484.01,Kepler-572 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,17.20522898,2.46e-05,-2.46e-05,175.05878,0.0011,-0.0011,0.012,0.391,-0.012,3.6688,0.0405,-0.0405,1080.6,16.6,-16.6,2.22,0.33,-0.16,553.0,,,22.05,10.12,-5.06,75.7,1.0,q1_q17_dr25_tce,5211.0,141.0,-141.0,4.643,0.03,-0.09,0.689,0.1,-0.05,291.2211,50.581299,14.472000000000001
3005,K00485.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,1,1,17.90766147,3.764e-05,-3.764e-05,175.55977,0.00176,-0.00176,0.978,0.081,-0.02,5.396,0.111,-0.111,1089.3,18.7,-18.7,4.89,1.59,-0.53,731.0,,,67.59,64.58,-20.61,78.4,1.0,q1_q17_dr25_tce,6153.0,165.0,-202.0,4.471,0.054000000000000006,-0.21600000000000003,0.993,0.324,-0.108,296.10958999999997,51.005501,14.162
3006,K00486.01,Kepler-573 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,22.18332255,4.401e-05,-4.401e-05,169.49618999999998,0.00158,-0.00158,0.024,0.367,-0.024,5.1364,0.0539,-0.0539,748.1,12.2,-12.2,2.78,0.38,-0.39,646.0,,,41.24,16.74,-12.86,70.3,1.0,q1_q17_dr25_tce,5565.0,111.0,-100.0,4.361000000000001,0.138,-0.10300000000000001,1.03,0.144,-0.144,289.52115,51.237309,14.118
3007,K02342.02,,FALSE POSITIVE,FALSE POSITIVE,0.269,1,0,0,0,354.78194,0.01105,-0.01105,175.7246,0.0156,-0.0156,1.17,78.45,-2.437,6.46,1.1,-1.1,193.0,32.6,-32.6,30.53,5.05,-7.56,325.0,,,2.62,1.23,-1.22,7.7,2.0,q1_q17_dr25_tce,5798.0,116.0,-81.0,4.025,0.20800000000000002,-0.11199999999999999,1.525,0.252,-0.378,293.72586,47.247040000000005,13.037
3008,K00487.01,Kepler-574 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,7.65880048,1.326e-05,-1.326e-05,173.03964,0.00137,-0.00137,0.017,0.407,-0.017,3.0427,0.0459,-0.0459,668.2,13.6,-13.6,2.19,0.56,-0.23,858.0,,,128.18,95.03,-36.64,57.6,1.0,q1_q17_dr25_tce,5657.0,152.0,-152.0,4.508,0.069,-0.161,0.855,0.215,-0.092,290.24703999999997,52.149132,14.527999999999999
3009,K00488.01,Kepler-575 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,9.3789167,2.173e-05,-2.173e-05,176.45197,0.00188,-0.00188,0.671,0.241,-0.437,3.3427,0.0617,-0.0617,563.5,15.1,-15.1,2.03,0.41,-0.27,803.0,,,98.22,61.04,-32.93,42.6,1.0,q1_q17_dr25_tce,5684.0,170.0,-170.0,4.493,0.11199999999999999,-0.138,0.808,0.162,-0.108,286.9639,37.829708000000004,14.72
3010,K00532.01,Kepler-588 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,4.2216261930000005,5.023e-06,-5.023e-06,173.699895,0.000919,-0.000919,0.847,0.004,-0.616,3.0619,0.0416,-0.0416,658.0,9.0,-9.0,2.87,0.96,-0.32,1176.0,,,453.2,446.34,-138.2,83.7,1.0,q1_q17_dr25_tce,6123.0,171.0,-192.0,4.4719999999999995,0.052000000000000005,-0.221,0.987,0.329,-0.11,284.2572,47.68895,14.708
3011,K00533.01,Kepler-589 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,16.54967098,4.378e-05,-4.378e-05,171.69398,0.00208,-0.00208,0.88,0.051,-0.622,4.3808,0.0856,-0.0856,744.5,17.0,-17.0,2.95,0.63,-0.41,656.0,,,43.72,28.48,-15.12,46.8,1.0,q1_q17_dr25_tce,5372.0,160.0,-160.0,4.434,0.11199999999999999,-0.154,0.916,0.194,-0.129,280.64136,47.751942,14.68
3012,K00085.02,Kepler-65 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,2.154911236,2.507e-06,-2.507e-06,133.49861299999998,0.000939,-0.000939,0.113,0.345,-0.113,3.1341,0.027,-0.027,99.7,1.4,-1.4,1.42,0.06,-0.08,1740.0,,,2162.35,277.92,-354.64,83.0,2.0,q1_q17_dr25_tce,6181.0,68.0,-86.0,4.22,0.033,-0.027000000000000003,1.424,0.056,-0.085,288.68869,41.15118,11.017999999999999
3013,K00317.02,,CANDIDATE,CANDIDATE,0.812,0,0,0,0,11.505879,0.0002263,-0.0002263,136.2363,0.0173,-0.0173,0.029,0.441,-0.029,5.583,0.516,-0.516,49.8,4.8,-4.8,0.99,0.17,-0.09,1000.0,,,236.35,113.65,-58.85,12.5,2.0,q1_q17_dr25_tce,6336.0,113.0,-139.0,4.266,0.063,-0.11699999999999999,1.403,0.245,-0.132,298.81638,43.998039,12.885
3014,K00533.02,,CANDIDATE,CANDIDATE,0.999,0,0,0,0,3.52467888,3.044e-05,-3.044e-05,131.63994,0.00687,-0.00687,0.976,0.029,-0.685,2.484,0.136,-0.136,129.7,12.7,-12.7,1.46,0.31,-0.2,1098.0,,,344.61,224.46,-119.21,12.3,2.0,q1_q17_dr25_tce,5372.0,160.0,-160.0,4.434,0.11199999999999999,-0.154,0.916,0.194,-0.129,280.64136,47.751942,14.68
