ADDRESS,RV
"The Carriage House, Adj To The Old Vicarage, Ulgham Village, Morpeth, Northumberland, NE61 3AR",3650
"1, Taberna Close, Heddon-On-The-Wall, Newcastle Upon Tyne, NE15 0BW",12000
"15, Newgate Street, Morpeth, Northumberland, NE61 1AL",9200
"Sour Grapes, 86, Newgate Street, Morpeth, Northumberland, NE61 1BU",11250
"Borough Hall, Wellway, Morpeth, Northumberland, NE61 1BN",11750
"10, First Avenue, Morpeth, Northumberland, NE61 2ER",1725
"Wansbeck Boarding Kennels, Whoral Bank, East Mill Road, Morpeth, Northumberland, NE61 3AA",9600
"1st & 2nd Floor, 22, Newgate Street, Morpeth, Northumberland, NE61 1BA",10500
"2, East Wing, Meldon Park, Morpeth, NE61 3SW",3200
"Reivers House, Staithes Lane, Morpeth, Northumberland, NE61 1TD",16750
"Reivers House, Staithes Lane, Morpeth, Northumberland, NE61 1TD",16750
"Unit 16-18 & Part 19, Milkhope Industrial Estate, Seaton Burn, Newcastle Upon Tyne, NE13 6DA",12500
"Basecamp At Wallington, Wallington, Morpeth, Northumberland, NE61 4AR",1525
"Wallington (National Trust), Wallington, Morpeth, Northumberland, NE61 4AR",0
"Wild Meadows, Longhorsley, Morpeth, Northumberland, NE65 8UX",1125
"22, Beaconsfield Street, Blyth, Northumberland, NE24 2DP",6700
"22, Beaconsfield Street, Blyth, Northumberland, NE24 2DP",6700
"37, Beaconsfield Street, Blyth, Northumberland, NE24 2DS",5200
"14-18, Bowes Street, Blyth, Northumberland, NE24 1BD",7200
"17, Bowes Street, Blyth, Northumberland, NE24 1BD",3600
"24, Bowes Street, Blyth, Northumberland, NE24 1BD",7700
"38a, Bowes Street, Blyth, Northumberland, NE24 1BE",5900
"40, Bowes Street, Blyth, Northumberland, NE24 1BE",8300
"42, Bowes Street, Blyth, Northumberland, NE24 1BE",7400
"62-66, Bridge Street, Blyth, Northumberland, NE24 2AP",4100
"13-14, Broadway Circle, Blyth, Northumberland, NE24 2PG",8100
"Tennis Club, Bath Terrace, Blyth, Northumberland, NE24 3AX",1075
"Tennis Club, Bath Terrace, Blyth, Northumberland, NE24 3AX",1075
"8th Blyth Ridley Sea Scouts, Fulmar Drive, Blyth, Northumberland, NE24 3QF",4050
"8th Blyth Ridley Sea Scouts, Fulmar Drive, Blyth, Northumberland, NE24 3QF",4050
"19, Carlton Street, Blyth, Northumberland, NE24 2DB",6200
"1a, Claremont Terrace, Blyth, NE24 2LE",3550
"1b-1c, Coomassie Road, Blyth, Northumberland, NE24 2LA",5800
"34-34a, Coomassie Road, Blyth, Northumberland, NE24 2HD",1975
"Shop, 539, Cowpen Road, Blyth, NE24 4JF",3000
"469, Cowpen Road, Blyth, Northumberland, NE24 5NF",11750
"15-19, Croft Road, Blyth, Northumberland, NE24 2JL",3600
"Unit 39 Croft Small Business Centre, Croft Road, Blyth, Northumberland, NE24 2EW",6300
"64, Druridge Drive, Blyth, Northumberland, NE24 4PZ",4250
"6, Elliott Street, Blyth, Northumberland, NE24 4NR",6300
"Tiercel Community Centre, Fulmar Drive, Blyth, Northumberland, NE24 3QF",6400
"Tiercel Community Centre, Fulmar Drive, Blyth, Northumberland, NE24 3QF",6400
"109, Front Street, Bebside, Blyth, Northumberland, NE24 4HN",5900
"River Blyth Boating Association, Factory Point, Blyth, Northumberland, ",11000
"47-51, Goschen Street, Blyth, Northumberland, NE24 1NL",8100
"Renvac Scaffolding Ltd, Horton Grange Colliery, Bebside, Blyth, Northumberland, NE24 4HP",11250
"High Street Social Club, High Street, Blyth, Northumberland, NE24 1DR",7800
"Factory No 19 Grasmere Way, Blyth Riverside Business Park, Blyth, Northumberland, NE24 4RG",4350
"Guiness Trust, Kerry Close, Blyth, Northumberland, NE24 1EN",820
"Blyth Golf Club Ltd, Blyth, NE24 4DB",26500
"New Delaval & Newsham Social Club, Winship Street, Blyth, Northumberland, NE24 4NH",12000
"506, Plessey Road, Blyth, Northumberland, NE24 4AA",4600
"The Top House, Marlow Street, Blyth, NE24 2RH",6550
"The Kiosk, Post Office Square, Blyth, Northumberland, NE24 1AW",2350
"55, Regent Street, Blyth, Northumberland, NE24 1LL",7300
"55, Regent Street, Blyth, Northumberland, NE24 1LL",7300
"9, Stanley Street, Blyth, Northumberland, NE24 2BS",2550
"12, Stanley Street, Blyth, Northumberland, NE24 2BU",9000
"Workshop No 2, Stannington Street, Blyth, Northumberland, NE24 3DN",2800
"6, Swaledale Court, Blyth, Northumberland, NE24 4EW",3400
"The Heritage Centre, South Harbour, Blyth, Northumberland, NE24 3PA",2175
"The Heritage Centre, South Harbour, Blyth, Northumberland, NE24 3PA",2175
"Unit 17d, Spencer Court, Blyth Riverside Business Park, Blyth, Northumberland, NE24 5TG",3900
"74, Waterloo Road, Blyth, Northumberland, NE24 1DG",8300
"76a, Waterloo Road, Blyth, Northumberland, NE24 1DG",3800
"114, Waterloo Road, Blyth, Northumberland, NE24 1DE",6500
"91, Wright Street, Blyth, Northumberland, NE24 1HG",12750
"Mr Jims, Scott Street, Hartford, Cramlington, Northumberland, NE23 3AN",4750
"Arcot Hall Golf Club Ltd, Dudley, Cramlington, Northumberland, NE23 7QP",42500
"Community Centre, Scott Street, Hartford, Cramlington, Northumberland, NE23 3AN",3750
"Unit 2b, Meadowfield Court, Meadowfield, Ponteland, Newcastle Upon Tyne, NE20 9SD",2650
"Gnd Flr Wellwood House, Dark Lane, Morpeth, Northumberland, NE61 1SU",2600
"The Annexe, The Old Temperance, Scots Gap, Morpeth, Northumberland, NE61 4EG",6500
"The Post Office, 12, The Arcade, Belsay, Newcastle Upon Tyne, NE20 0DY",5700
"Gnd Flr Rear, Ash House, Bell Villas, Ponteland, Newcastle Upon Tyne, NE20 9BE",4100
"Unit 1, Wellwood House, Dark Lane, Morpeth, Northumberland, NE61 1SU",4900
"Unit 1, Wellwood House, Dark Lane, Morpeth, Northumberland, NE61 1SU",4900
"9, New Market, Morpeth, Northumberland, NE61 1PS",9200
"Unit 6, Horton Park Offices, Seaton Burn, Newcastle Upon Tyne, NE13 6BU",6200
"West Moor, Longhorsley, Morpeth, Northumberland, NE65 8QX",1125
"9b, Newgate Street, Morpeth, Northumberland, NE61 1AL",4250
"High House Brewery, Matfen High House, Matfen, Newcastle Upon Tyne, NE20 0RG",4600
"Unit B4, North Whitehouse Farm, Stannington, Morpeth, Northumberland, NE61 6AW",10250
"Handy Andy Car Wash, Street House Farm, Ponteland, Newcastle Upon Tyne, NE20 9BT",6000
"Unit 3g, Coopies Field, Coopies Lane, Morpeth, Northumberland, NE61 6JU",7300
"35, Grange Road, Morpeth, Northumberland, NE61 2TW",3950
"8, Church Street, Cramlington, Northumberland, NE23 6QQ",9500
"Masonic, Hall, Cramlington, Northumberland, NE23 1DN",3600
"Cramlington Village Community Centre, East Farm Terrace, Cramlington, NE23 1DT",6700
"Cramlington Village Community Centre, East Farm Terrace, Cramlington, NE23 1DT",6700
"Salvation Army Hall, Chirnside, Cramlington, Northumberland, NE23 6LQ",2550
"Salvation Army Hall, Chirnside, Cramlington, Northumberland, NE23 6LQ",2550
"Suite 3-4 1st Flr Dudley Court, Manor Walks Shopping Centre, Cramlington, Northumberland, NE23 6QW",7200
"Suite 14 1st Flr Dudley Court, Manor Walks Shopping Centre, Cramlington, Northumberland, NE23 6QW",4050
"Benedictine Club, Glenluce Court, Cramlington, Northumberland, NE23 6YA",14000
"Nelson Village Miners Welfare, Nelson Avenue, Nelson Village, Cramlington, Northumberland, NE23 1HG",7900
"Nelson Village Miners Welfare, Nelson Avenue, Nelson Village, Cramlington, Northumberland, NE23 1HG",7900
"Cramlington Social Club, Park View, Cramlington, Northumberland, NE23 6QJ",17000
"The Plough, Middle Farm, Cramlington, Northumberland, NE23 7DZ",44000
"Football Club, Ann Welfare Recreation Ground, Cramlington, Northumberland, NE23 6HR",6000
"Football Club, Ann Welfare Recreation Ground, Cramlington, Northumberland, NE23 6HR",6000
"Beaconhill Community Centre, Langdale Drive, Cramlington, NE23 8EH",3900
"Beaconhill Community Centre, Langdale Drive, Cramlington, NE23 8EH",3900
"2-3, Avenue Crescent, Seaton Delaval, Whitley Bay, Tyne And Wear, NE25 0DN",8800
"R/O 5, Avenue Crescent, Seaton Delaval, Whitley Bay, Tyne And Wear, NE25 0DN",960
"6, Avenue Road, Seaton Delaval, Whitley Bay, Tyne And Wear, NE25 0DU",3450
"1a, Avenue Terrace, Seaton Delaval, Whitley Bay, Tyne And Wear, NE25 0AW",1550
"David Elliot Motor Engineers, Double Row, Seaton Delaval, Whitley Bay, Tyne And Wear, NE25 0PP",6400
"Unit D12, Delaval Trading Estate, Seaton Delaval, Whitley Bay, Tyne And Wear, NE25 0QT",9600
"Redholme Garage, Double Row, Seaton Delaval, Whitley Bay, Tyne And Wear, NE25 0PP",13000
"Community Centre, Elsdon Avenue,  Seaton Delaval, Whitley Bay, NE25 0BW",9800
"Community Centre, Elsdon Avenue,  Seaton Delaval, Whitley Bay, NE25 0BW",9800
"Kerrs, 2, Hayward Avenue,  Seaton Delaval, Whitley Bay, NE25 0AF",2700
"New Hartley & District, Workmens Club  & Institute Ltd, Melton Terrace, New Hartley, Whitley Bay, Tyne And Wear, NE25 0RL",6700
"Hartley Memorial Hall, St Michaels Avenue, New Hartley, Whitley Bay, Tyne And Wear, NE25 0RP",7600
"Hartley Memorial Hall, St Michaels Avenue, New Hartley, Whitley Bay, Tyne And Wear, NE25 0RP",7600
"10, St Michaels Avenue, New Hartley, Whitley Bay, Tyne And Wear, NE25 0RP",3650
"10, St Michaels Avenue, New Hartley, Whitley Bay, Tyne And Wear, NE25 0RP",3650
"Masonic Hall, Seaton Delaval, Whitley Bay, Tyne And Wear, NE25 0PT",2950
"Ivanhoe Forge, Seaton Delaval, Whitley Bay, Tyne And Wear, NE25 0PT",9400
"Macgregor House, 1st Floor, Station Road, Seaton Delaval, Whitley Bay, Tyne And Wear, NE25 0PT",8200
"Seaton Terrace Club & Institute, Wallace Terrace,  Seaton Delaval, Whitley Bay, NE25 0BB",11000
"Wheatridge Park, Wheatridge Row, Seaton Delaval, Whitley Bay, Tyne And Wear, NE25 0QH",2275
"Collier Bros, Wheatridge Row, Seaton Delaval, Whitley Bay, Tyne And Wear, NE25 0QH",2125
"Co-Operative Buildings, Albert Road, Seaton Sluice, Whitley Bay, Tyne And Wear, NE26 4QX",1650
"1st Seaton Sluice Boy Scouts, Collywell Bay Road, Seaton Sluice, Whitley Bay, Tyne And Wear, NE26 4RF",2175
"1st Seaton Sluice Boy Scouts, Collywell Bay Road, Seaton Sluice, Whitley Bay, Tyne And Wear, NE26 4RF",2175
"Seaton Sluice Community Centre, Albert Road, Seaton Sluice, Whitley Bay, Tyne And Wear, NE26 4QX",9100
"Seaton Sluice Community Centre, Albert Road, Seaton Sluice, Whitley Bay, Tyne And Wear, NE26 4QX",9100
"Look Out Hut, Rocky Island, Seaton Sluice, Whitley Bay, Tyne And Wear, NE26 4RT",325
"Look Out Hut, Rocky Island, Seaton Sluice, Whitley Bay, Tyne And Wear, NE26 4RT",325
"Seghill Comrades Club Ltd, Front Street,  Seghill, Cramlington, NE23 7TQ",6900
"11-12, Front Street,  Seghill, Cramlington, NE23 7TQ",6200
"Storage Land, Moorside Lodge, Mill Lane, Seghill, Cramlington, Northumberland, NE23 7TT",7000
"Seghill Institute, Main Street North, Seghill, Cramlington, Northumberland, NE23 7SB",12000
"Seghill Institute, Main Street North, Seghill, Cramlington, Northumberland, NE23 7SB",12000
"Seaton Burn Bridge, Seghill, Cramlington, Northumberland, NE23 7DX",1300
"Blyth Cricket & Tennis Club, Plessey Road, Blyth, NE24 3LE",12250
"Blyth Cricket & Tennis Club, Plessey Road, Blyth, NE24 3LE",12250
"Burton House, High Pit Road, Cramlington, NE23 6RB",13350
"Burton House, High Pit Road, Cramlington, NE23 6RB",13350
"474, Plessey Road, Blyth, Northumberland, NE24 4NE",3100
"85, Astley Road,  Seaton Delaval, Whitley Bay, NE25 0DL",8700
"Silx, 5, Church Street, Blyth, NE24 1BG",6700
"Silx, 5, Church Street, Blyth, NE24 1BG",6700
"Ten Acres Stables, Earsdon, Whitley Bay, Tyne And Wear, NE25 9TQ",1800
"Screenway, Old Stone Road, Cramlington, Northumberland, NE23 6XW",8700
"1a, Clarence Street, Seaton Sluice, Whitley Bay, Tyne And Wear, NE26 4DN",4150
"2, Carr Street, Blyth, Northumberland, NE24 4NG",4250
"27, Avenue Road, Seaton Delaval, Whitley Bay, Tyne And Wear, NE25 0DT",7000
"1, Cramlington Terrace, Blyth, Northumberland, NE24 4AQ",3600
"21-23, Newcastle Road, Blyth, Northumberland, NE24 4AG",8500
"The Orchard Stables, Lanercost Park, Cramlington, Northumberland, NE23 6RY",4250
"Bebside Old Church, Front Street, Blyth, Northumberland, NE24 4HW",2300
"Blagdon House, Smithy Square, Cramlington, NE23 6QL",8100
"St Oswalds House, Doxford Place, Cramlington, Northumberland, NE23 6DY",2250
"St Oswalds House, Doxford Place, Cramlington, Northumberland, NE23 6DY",2250
"51, Bowes Street, Blyth, Northumberland, NE24 1EB",3450
"12, Elliott Street, Blyth, NE24 4NR",4100
"Holywell Garage, Holywell, Whitley Bay, Tyne And Wear, NE25 0LL",9200
"Auto Repairers 2, Double Row, Seaton Delaval, Whitley Bay, Tyne And Wear, NE25 0PP",6600
"3-5, Bowes Street, Blyth, Northumberland, NE24 1BD",8000
"Cadet Centre (Acf), Broadway Circle, Blyth, Northumberland, NE24 2PG",1225
"Cadet Centre (Acf), Broadway Circle, Blyth, Northumberland, NE24 2PG",1225
"Premier Coaches, Rsl Buildings, Coniston Road, Blyth Riverside Business Park, Blyth, Northumberland, NE24 4RN",11750
"Store No 1, Fish Quay, South Harbour, Blyth, Northumberland, NE24 3PB",495
"Ice House No 11, South Harbour, Blyth, Northumberland, NE24 3PB",1150
"Ice House No 3, South Harbour, Blyth, Northumberland, NE24 3PB",1150
"Ice House No 7, South Harbour, Blyth, Northumberland, NE24 3PB",1150
"Unit Bt76/57b, South Nelson Road, South Nelson Ind Estate, Cramlington, Northumberland, NE23 1WF",11000
"1, Aldborough Street, Blyth, Northumberland, NE24 2EU",15750
"Sports Pavilion, Briardale Road, Blyth, Northumberland, NE24 5AL",17000
"Sports Pavilion, Briardale Road, Blyth, Northumberland, NE24 5AL",17000
"Kiosk 4 West Mall Craster Court, Manor Walks Shopping Centre, Cramlington, Northumberland, NE23 6UT",6400
"Auto Body Craft, Rosamund Place, Blyth, Northumberland, NE24 3DQ",4500
"Unit 2 The Brockwell Centre, Northumbrian Road, Cramlington, Northumberland, NE23 1XZ",16250
"2, Elliott Street, Blyth, Northumberland, NE24 4NR",7000
"90, Elsdon Avenue, Seaton Delaval, Whitley Bay, Tyne And Wear, NE25 0BN",5500
"44-46, Regent Street, Blyth, Northumberland, NE24 1LS",6900
"Unit Bt76/55c, South Nelson Road, South Nelson Ind Estate, Cramlington, Northumberland, NE23 1WF",7500
"Durkin Properties Ltd, Durkin Business Park, Seghill, Cramlington, Northumberland, NE23 7EB",7200
"North Eastern Sports, Bates Cottages, Holywell, Whitley Bay, Tyne And Wear, NE25 0ND",8700
"Early Steps Preschool, Fulmar Drive, Blyth, Northumberland, NE24 3QF",2400
"Early Steps Preschool, Fulmar Drive, Blyth, Northumberland, NE24 3QF",2400
"The Isabella Centre, Ogle Drive, Blyth, NE24 5EH",17500
"The Isabella Centre, Ogle Drive, Blyth, NE24 5EH",17500
"94, Elsdon Avenue, Seaton Delaval, Whitley Bay, Tyne And Wear, NE25 0BN",5500
"Unit 5 Hubbway Business Centre, Bassington Lane, Bassington Industrial Estate, Cramlington, Northumberland, NE23 8AD",7400
"Units 7 & 8  Hubbway Business Centre, Bassington Lane, Bassington Industrial Estate, Cramlington, Northumberland, NE23 8AD",11250
"Nelson Village Miners Welfare Community Centre, Nelson Avenue, Nelson Village, Cramlington, Northumberland, NE23 1HG",5400
"Nelson Village Miners Welfare Community Centre, Nelson Avenue, Nelson Village, Cramlington, Northumberland, NE23 1HG",5400
"1st Flr 1, Church Street, Cramlington, Northumberland, NE23 6QQ",6200
"Blyth Fish Ltd, South Harbour, Blyth, Northumberland, NE24 3PB",4350
"25, Bridge Street, Blyth, NE24 2AA",4000
"1, Sandersons Terrace, Cramlington, NE23 6XD",6600
"Unit 3, East Cramlington Industrial Estate, Old Stone Road, Cramlington, Northumberland, NE23 6XW",2750
"4, Parsons Street, Blyth, NE24 1BN",4850
"2, Bridge Street, Blyth, Northumberland, NE24 1BL",5500
"Unit 19, Apex Business Village, Annitsford, Cramlington, NE23 7BF",11500
"Unit 3 Hubbway Business Centre, Bassington Lane, Bassington Industrial Estate, Cramlington, Northumberland, NE23 8AD",16000
"12, Bowes Street, Blyth, Northumberland, NE24 1BD",8200
"Unit 15, Apex Business Village, Annitsford, Cramlington, NE23 7BF",11500
"4, Swaledale Court, Blyth, Northumberland, NE24 4EW",1650
"Nt76/16a, Moorland Way, Nelson Park Industrial Estate, Cramlington, Northumberland, NE23 1WE",7100
"26/28, Astley Road, Seaton Delaval, NE25 0DG",5000
"8a, St Michaels Avenue, New Hartley, Whitley Bay, Tyne And Wear, NE25 0RP",4000
"Units B8-10 Terraced Factories, Bassington Lane, Bassington Industrial Estate, Cramlington, Northumberland, NE23 8AD",16500
"Unit 5, Apex Business Village, Annitsford, Cramlington, NE23 7BF",11500
"Journeys End 2, Double Row, Seaton Delaval, Whitley Bay, Tyne And Wear, NE25 0PP",13750
"197-199, Plessey Road, Blyth, Northumberland, NE24 3LB",4000
"20, Stanley Street, Blyth, Northumberland, NE24 2BU",12750
"20, Stanley Street, Blyth, Northumberland, NE24 2BU",12750
"1st Flr 16, Church Street, Blyth, Northumberland, NE24 1BG",3100
"Seghill Fisheries, 4, Main Street South, Seghill, Cramlington, Northumberland, NE23 7SD",2550
"Kiosk 1 Dudley Court, Manor Walks Shopping Centre, Cramlington, Northumberland, NE23 6QW",6300
"370, Cowpen Road, Blyth, NE24 5NE",3750
"190, Astley Road,  Seaton Delaval, Whitley Bay, NE25 0DQ",5100
"Store No 3, Fish Quay, South Harbour, Blyth, Northumberland, NE24 3PB",495
"72, Waterloo Road, Blyth, Northumberland, NE24 1DG",7300
"Seaton Red House Farm, New Hartley, Whitley Bay, NE26 4PX",2700
"B L I S S, Eric Tolhurst Centre, Quay Road, Blyth, Northumberland, NE24 2AS",2350
"B L I S S, Eric Tolhurst Centre, Quay Road, Blyth, Northumberland, NE24 2AS",2350
"Factory No 36, Grasmere Way, Blyth Riverside Business Park, Blyth, Northumberland, NE24 4RG",6100
"Chambers Car Care Ltd, Gatacre Street, Blyth, Northumberland, NE24 1HD",7000
"1, King Street, Blyth, Northumberland, NE24 1LY",15250
"Hastings Hartley Arms, New Hartley, Whitley Bay, Tyne And Wear, NE25 0SG",2850
"26, Renwick Road, Blyth, Northumberland, NE24 2RG",4400
"21a, Briardale Road, Blyth, Northumberland, NE24 5LB",11000
"4-6, Astley Road, Seaton Delaval, Whitley Bay, Tyne And Wear, NE25 0DG",4600
"Community Centre, Scott Street, Hartford, Cramlington, Northumberland, NE23 3AN",3750
"Carlton House, Wright Street, Blyth, Northumberland, NE24 1HG",7000
"Cowpen & Crofton Bowling Club, Renwick Road, Blyth, Northumberland, NE24 2BX",1000
"1st Blyth Scout Group, Edward Street, Blyth, Northumberland, NE24 1DW",1800
"1st Blyth Scout Group, Edward Street, Blyth, Northumberland, NE24 1DW",1800
"1, High Pit Farm, Cramlington, Northumberland, NE23 6RD",3300
"4, Church Street, Cramlington, Northumberland, NE23 6QQ",8500
"10, Elliott Street, Blyth, Northumberland, NE24 4NR",4050
"Broadway Wines, 4, Broadway Circle, Blyth, Northumberland, NE24 2PG",5200
"20, Croft Road, Blyth, Northumberland, NE24 2JL",5400
"Prime Cut Butchers, Double Row, Seaton Delaval, Whitley Bay, Tyne And Wear, NE25 0PP",15000
"Rosamund Garage, Rosamund Place, Blyth, Northumberland, NE24 3DQ",2750
"Bowling Club, Welfare Park, Seghill, Cramlington, Northumberland, NE23 7EZ",1525
"Seghill Rfc, Welfare Park, Seghill, Cramlington, Northumberland, NE23 7EZ",6500
"Seghill Rfc, Welfare Park, Seghill, Cramlington, Northumberland, NE23 7EZ",6500
"42, Marine Terrace, Blyth, Northumberland, NE24 2JN",12500
"26, Regent Street, Blyth, Northumberland, NE24 1LP",11500
"8, Broadway Circle, Blyth, Northumberland, NE24 2PG",4850
"Scout Hall, Welfare Park, Seghill, Cramlington, Northumberland, NE23 7EZ",1975
"Scout Hall, Welfare Park, Seghill, Cramlington, Northumberland, NE23 7EZ",1975
"1-3 Compass House, Freehold Street, Blyth, Northumberland, NE24 2BA",20500
"86, Bowes Street, Blyth, Northumberland, NE24 1EE",2850
"North Housing Association Ltd, Lindean Place, Cramlington, Northumberland, NE23 8EF",1525
"Unit D21a, Delaval Trading Estate, Seaton Delaval, Whitley Bay, Tyne And Wear, NE25 0QT",4350
"2nd Cramlington Scout Group, Ann Welfare Recreation Ground, Crookham Way, Cramlington, Northumberland, NE23 6HR",3850
"2nd Cramlington Scout Group, Ann Welfare Recreation Ground, Crookham Way, Cramlington, Northumberland, NE23 6HR",3850
"175, Plessey Road, Blyth, Northumberland, NE24 3LB",4750
"Unit Bt76/56a, South Nelson Road, South Nelson Ind Estate, Cramlington, Northumberland, NE23 1WF",11000
"J Wilson Tower Buildings, Regent Street, Blyth, Northumberland, NE24 1LL",2450
"Blyth Sports Social Club, Coomassie Road, Blyth, NE24 2HE",11000
"R/O, Ravensdale Grove, Blyth, Northumberland, NE24 5AP",1725
"The Butchers Yard, West Terrace, Seaton Sluice, Whitley Bay, Tyne And Wear, NE26 4RD",4550
"The Butchers Yard, West Terrace, Seaton Sluice, Whitley Bay, Tyne And Wear, NE26 4RD",4550
"1, Swaledale Court, Blyth, Northumberland, NE24 4EW",5300
"32, Regent Street, Blyth, NE24 1LS",14750
"A F Tyres Rear Of, Front Street, Klondyke, Cramlington, Northumberland, NE23 6RF",9900
"34a, Bowes Street, Blyth, Northumberland, NE24 1BE",4550
"Unit 1 Albion Retail Centre, Albion Way, Blyth, Northumberland, NE24 5BS",83000
"Unit 17g, Spencer Court, Blyth Riverside Business Park, Blyth, Northumberland, NE24 5TG",3900
"Unit Bt76/57a, South Nelson Road, South Nelson Ind Estate, Cramlington, Northumberland, NE23 1WF",13750
"Disabled Forum Eric Tolhurst Centre, Quay Road, Blyth, Northumberland, NE24 2AS",5600
"Disabled Forum Eric Tolhurst Centre, Quay Road, Blyth, Northumberland, NE24 2AS",5600
"Seaton Valley Community Enterprises, Station Road, Seaton Delaval, Whitley Bay, Tyne And Wear, NE25 0PT",9400
"Station House, Station Road, Seghill, Cramlington, Northumberland, NE23 7EJ",10000
"24, Regent Street, Blyth, Northumberland, NE24 1LP",11750
"C K Mcvittie, Kitty Brewster Farm, Cowpen, Blyth, Northumberland, NE24 4JU",10750
"Unit Bt76/59a, South Nelson Road, South Nelson Ind Estate, Cramlington, Northumberland, NE23 1WF",4000
"Stables, Laverock Hall Farm, Blyth, Northumberland, NE24 4HE",2750
"Avenue House, Baxter Place, Seaton Delaval, Whitley Bay, Tyne And Wear, NE25 0AP",5000
"Unit D6a, Delaval Trading Estate, Seaton Delaval, Whitley Bay, Tyne And Wear, NE25 0QT",7500
"92, Elsdon Avenue, Seaton Delaval, Whitley Bay, Tyne And Wear, NE25 0BN",5300
"8, Havelock Street, Blyth, Northumberland, NE24 1AB",4650
"Suite 20 1st Flr Dudley Court, Manor Walks Shopping Centre, Cramlington, Northumberland, NE23 6QW",2950
"Millway Garage, Beresford Road, Seaton Sluice, Whitley Bay, Tyne And Wear, NE26 4DP",9600
"Unit 6 The Brockwell Centre, Northumbrian Road, Cramlington, Northumberland, NE23 1XZ",9300
"Unit Bt76/59g, South Nelson Road, South Nelson Ind Estate, Cramlington, Northumberland, NE23 1WF",7800
"194, Plessey Road, Blyth, Northumberland, NE24 3HZ",3950
"Fordsburg House, Front Street,  Klondyke, Cramlington, NE23 6RF",5400
"Unit 31, Atley Business Park, Cramlington, Northumberland, NE23 1WP",5700
"Units 7-8, Riverside Court, Coniston Road, Blyth, Northumberland, NE24 4RS",5100
"Keel Row,  Seaton Delaval, Whitley Bay, NE25 0QG",47500
"Unit Nt76/18b Moorland Way, Nelson Park Industrial Estate, Cramlington, Northumberland, NE23 1WE",3650
"Unit 6, Atley Business Park, Cramlington, Northumberland, NE23 1WP",13750
"5, Swaledale Court, Blyth, Northumberland, NE24 4EW",3400
"6, Broadway Circle, Blyth, Northumberland, NE24 2PG",4600
"Unit 3, Cooperative Buildings, Front Street, Klondyke, Cramlington, Northumberland, NE23 6RF",8700
"Unit 35, Atley Business Park, Cramlington, Northumberland, NE23 1WP",8800
"Store No 9, Fish Quay, South Harbour, Blyth, Northumberland, NE24 3PB",495
"Unit 1c, Atley Business Park, Cramlington, Northumberland, NE23 1WP",3150
"Workshop Adjacent To, 3, Errington Street, Bebside, Blyth, Northumberland, NE24 4HP",1450
"Edendale House, Dene View Drive, Blyth, NE24 5PT",2750
"Greenside House, Dene View Drive, Blyth, NE24 5PT",600
"Unit 1, Durkin Business Park, Seghill, Cramlington, Northumberland, NE23 7EB",4800
"Unit 6g, Admiral Business Park, Nelson Way, North Nelson Industrial Estate, Cramlington, Northumberland, NE23 9JT",5100
"36, Renwick Road, Blyth, Northumberland, NE24 2RG",7200
"Unit 30, Atley Business Park, Cramlington, Northumberland, NE23 1WP",5700
"Unit 29, Atley Business Park, Cramlington, Northumberland, NE23 1WP",5700
"5, Broadway Circle, Blyth, Northumberland, NE24 2PG",5300
"64, Waterloo Road, Blyth, Northumberland, NE24 1DG",4150
"13, St Michaels Avenue, New Hartley, Whitley Bay, Tyne And Wear, NE25 0RP",3600
"1st Floor & Units 4-5, Cooperative Buildings, Front Street, Klondyke, Cramlington, Northumberland, NE23 6RF",23500
"1st Floor & Units 4-5, Cooperative Buildings, Front Street, Klondyke, Cramlington, Northumberland, NE23 6RF",23500
"Unit 5, Atley Business Park, Cramlington, Northumberland, NE23 1WP",13750
"Blayneys Wine Shop, Southend Avenue, Blyth, Northumberland, NE24 5RW",4650
"Unit 4, Mcbride'S Yard, Old Stone Road, Cramlington, Northumberland, NE23 6XW",2700
"6, Freehold Street, Blyth, Northumberland, NE24 2BA",3400
"Unit 18, Atley Business Park, Cramlington, Northumberland, NE23 1WP",9200
"13, Regent Street, Blyth, Northumberland, NE24 1LQ",11000
"Unit 3 Old Parish Hall, Dudley Lane, Cramlington, Northumberland, NE23 6UW",13000
"12-14, Church Street, Blyth, Northumberland, NE24 1BG",12250
"44, Bridge Street, Blyth, Northumberland, NE24 2AG",4000
"Unit 20, Atley Business Park, Cramlington, Northumberland, NE23 1WP",8300
"Cramlington Voluntary Youth Project, Middle Farm Buildings, Cramlington, Northumberland, NE23 1DN",10750
"Cramlington Voluntary Youth Project, Middle Farm Buildings, Cramlington, Northumberland, NE23 1DN",10750
"23, Bowes Street, Blyth, Northumberland, NE24 1BD",6800
"Unit Bt76/60a, South Nelson Road, South Nelson Ind Estate, Cramlington, Northumberland, NE23 1WF",13750
"Blyth West Childrens Centre, Devonworth Place, Blyth, Northumberland, NE24 5AQ",48500
"Blyth West Childrens Centre, Devonworth Place, Blyth, Northumberland, NE24 5AQ",48500
"5, Delaval Terrace, Blyth, Northumberland, NE24 1DJ",9600
"Unit 1, East Cramlington Industrial Estate, Old Stone Road, Cramlington, Northumberland, NE23 6XW",2650
"4, Simpson Street, Blyth, Northumberland, NE24 1AX",5300
"Willowsteads, East Cramlington, Cramlington, Northumberland, NE23 6RD",3200
"71, Marlow Street, Blyth, Northumberland, NE24 2RH",1500
